timestamp,value
1742865504.3148105,503
1742865504.3150105,502
1742865504.315192,501
1742865504.3153458,500
1742865504.3154957,498
1742865504.3475168,498
1742865504.3475556,504
1742865504.3475864,502
1742865504.347621,499
1742865504.3476508,498
1742865504.347683,496
1742865504.3807685,494
1742865504.3808386,492
1742865504.3808694,489
1742865504.3808987,474
1742865504.3809285,465
1742865504.3809586,454
1742865504.3809876,443
1742865504.4141593,428
1742865504.4141972,427
1742865504.4142272,423
1742865504.4142563,414
1742865504.414288,412
1742865504.4143176,433
1742865504.4474196,442
1742865504.4474616,456
1742865504.4474938,468
1742865504.447524,505
1742865504.4475534,512
1742865504.4475832,542
1742865504.4476132,544
1742865504.4808018,606
1742865504.480872,609
1742865504.4809303,593
1742865504.4809873,579
1742865504.4810443,545
1742865504.4811013,527
1742865504.5142732,499
1742865504.5143745,484
1742865504.514458,481
1742865504.5145397,489
1742865504.5146313,488
1742865504.5147183,514
1742865504.5475113,542
1742865504.5477881,558
1742865504.5479474,587
1742865504.548095,584
1742865504.5482411,594
1742865504.5483952,584
1742865504.5485406,585
1742865504.5808933,587
1742865504.5810616,566
1742865504.5811975,571
1742865504.5813453,565
1742865504.5814655,557
1742865504.5815866,546
1742865504.6143217,544
1742865504.6145039,607
1742865504.6146595,629
1742865504.6148062,617
1742865504.6149511,617
1742865504.6150992,628
1742865504.6152458,639
1742865504.647663,624
1742865504.6478121,600
1742865504.6481647,581
1742865504.6483016,573
1742865504.6484127,557
1742865504.6485207,526
1742865504.680878,507
1742865504.681053,482
1742865504.6812015,461
1742865504.6815007,458
1742865504.681651,448
1742865504.6818006,446
1742865504.7138317,433
1742865504.7140079,448
1742865504.7141001,462
1742865504.714197,472
1742865504.7142785,486
1742865504.7143621,507
1742865504.7144463,542
1742865504.7474513,555
1742865504.7476356,584
1742865504.7477846,599
1742865504.7479432,614
1742865504.7480898,645
1742865504.748277,683
1742865504.7806985,720
1742865504.7808616,760
1742865504.7810054,773
1742865504.781155,775
1742865504.7813094,841
1742865504.7814558,846
1742865504.7816381,843
1742865504.8139431,864
1742865504.8141122,903
1742865504.814262,903
1742865504.8144152,921
1742865504.8145719,932
1742865504.8147159,931
1742865504.847354,932
1742865504.8475275,932
1742865504.847685,932
1742865504.8478322,932
1742865504.8479803,932
1742865504.8481402,932
1742865504.880485,932
1742865504.8807569,932
1742865504.8809159,932
1742865504.881062,932
1742865504.8812082,933
1742865504.8813536,932
1742865504.8815002,932
1742865504.9137523,932
1742865504.9138458,933
1742865504.9139407,933
1742865504.9140244,933
1742865504.9141023,932
1742865504.91418,932
1742865504.947111,932
1742865504.9472332,932
1742865504.9473367,932
1742865504.9474437,932
1742865504.9475458,932
1742865504.94765,932
1742865504.947753,932
1742865504.9805543,932
1742865504.9807267,932
1742865504.980863,932
1742865504.9809964,932
1742865504.981129,932
1742865504.9813278,932
1742865505.013647,933
1742865505.0137446,932
1742865505.0138316,932
1742865505.0139148,932
1742865505.0139976,932
1742865505.0140908,932
1742865505.0469134,932
1742865505.047372,932
1742865505.0475535,932
1742865505.0477226,932
1742865505.0478878,932
1742865505.048055,932
1742865505.04852,931
1742865505.080355,932
1742865505.080513,931
1742865505.080661,931
1742865505.0807927,932
1742865505.0809257,932
1742865505.081057,932
1742865505.1135857,932
1742865505.1137624,932
1742865505.1139183,931
1742865505.1140628,932
1742865505.1142113,932
1742865505.1143837,932
1742865505.1145313,916
1742865505.14706,900
1742865505.1472385,861
1742865505.1473866,816
1742865505.1475344,848
1742865505.1476803,824
1742865505.147826,828
1742865505.180203,832
1742865505.1804106,810
1742865505.180559,804
1742865505.1807058,771
1742865505.180861,762
1742865505.1810055,743
1742865505.2134967,743
1742865505.213744,757
1742865505.2139173,758
1742865505.2140665,739
1742865505.2142196,739
1742865505.2143674,742
1742865505.2145183,744
1742865505.2469878,782
1742865505.2471657,822
1742865505.2473161,809
1742865505.2475927,800
1742865505.2477424,795
1742865505.24789,783
1742865505.2802334,750
1742865505.28034,743
1742865505.2804244,758
1742865505.280513,744
1742865505.280597,759
1742865505.280679,738
1742865505.2807605,752
1742865505.313612,752
1742865505.3137462,744
1742865505.3138576,736
1742865505.313969,718
1742865505.3140824,685
1742865505.3141835,678
1742865505.3468015,660
1742865505.346978,646
1742865505.3471155,632
1742865505.347303,605
1742865505.347451,596
1742865505.3475866,575
1742865505.3799908,554
1742865505.3802779,542
1742865505.3804355,513
1742865505.3805807,485
1742865505.3807573,481
1742865505.380907,463
1742865505.381053,450
1742865505.4132679,434
1742865505.413523,421
1742865505.4136791,407
1742865505.4141724,398
1742865505.4144764,389
1742865505.4147916,392
1742865505.4465091,386
1742865505.4466355,382
1742865505.4467378,375
1742865505.4468458,366
1742865505.4469473,376
1742865505.447047,377
1742865505.4471483,363
1742865505.4799323,361
1742865505.4801,353
1742865505.4802535,354
1742865505.4804,342
1742865505.4805434,325
1742865505.480692,319
1742865505.513353,315
1742865505.5135262,315
1742865505.5136826,320
1742865505.51384,319
1742865505.5139856,331
1742865505.5142057,327
1742865505.546386,326
1742865505.5466292,362
1742865505.5467863,366
1742865505.5469322,368
1742865505.5470772,373
1742865505.5473037,369
1742865505.5474534,375
1742865505.579816,411
1742865505.5800333,409
1742865505.5801969,412
1742865505.5803435,417
1742865505.5804927,416
1742865505.5806408,421
1742865505.6130304,427
1742865505.6132,444
1742865505.6133564,447
1742865505.6135044,459
1742865505.6136742,460
1742865505.6138217,467
1742865505.613968,472
1742865505.646471,489
1742865505.6466475,531
1742865505.6467962,558
1742865505.6469417,576
1742865505.647162,579
1742865505.6473122,579
1742865505.67997,593
1742865505.6801465,609
1742865505.6802936,610
1742865505.6804404,624
1742865505.6805866,625
1742865505.6807315,617
1742865505.712904,618
1742865505.713164,609
1742865505.7133164,598
1742865505.713473,630
1742865505.713621,696
1742865505.7137663,689
1742865505.7139351,721
1742865505.7463322,717
1742865505.746502,722
1742865505.74666,748
1742865505.7468052,742
1742865505.747025,734
1742865505.747176,725
1742865505.7797856,714
1742865505.779975,700
1742865505.780125,691
1742865505.7802742,664
1742865505.7804213,679
1742865505.7805693,676
1742865505.7807138,673
1742865505.812918,679
1742865505.8130856,680
1742865505.8132403,658
1742865505.813387,629
1742865505.813564,609
1742865505.813714,612
1742865505.8462253,599
1742865505.8464005,574
1742865505.8465595,565
1742865505.846706,541
1742865505.8468537,517
1742865505.8470032,504
1742865505.8795311,509
1742865505.8796976,539
1742865505.8798273,544
1742865505.8799381,553
1742865505.880039,542
1742865505.8801408,523
1742865505.8802483,515
1742865505.912905,509
1742865505.9130273,507
1742865505.913145,514
1742865505.9132388,493
1742865505.9133315,496
1742865505.9134283,479
1742865505.9465206,472
1742865505.9467103,471
1742865505.9468677,461
1742865505.9470155,456
1742865505.9471614,437
1742865505.9473052,446
1742865505.9474502,445
1742865505.979992,466
1742865505.9801106,469
1742865505.9802094,519
1742865505.9803114,522
1742865505.9804053,519
1742865505.9804993,539
1742865506.0126941,533
1742865506.0127892,559
1742865506.0128677,557
1742865506.0129466,574
1742865506.0130308,603
1742865506.0131078,594
1742865506.0461686,601
1742865506.0463731,601
1742865506.04648,588
1742865506.0465887,600
1742865506.0466912,603
1742865506.0467932,585
1742865506.0468948,578
1742865506.0799954,566
1742865506.0801184,556
1742865506.0802364,570
1742865506.0803466,568
1742865506.0804558,571
1742865506.0805645,553
1742865506.1127698,548
1742865506.1130733,539
1742865506.1131327,549
1742865506.1131976,560
1742865506.1132565,579
1742865506.1133163,571
1742865506.113394,570
1742865506.1459694,562
1742865506.1460874,585
1742865506.1461952,593
1742865506.1462958,596
1742865506.1463957,587
1742865506.1464972,606
1742865506.1798835,618
1742865506.1800535,660
1742865506.180187,695
1742865506.180319,699
1742865506.1804461,717
1742865506.1805673,754
1742865506.212321,745
1742865506.2124534,771
1742865506.2125275,771
1742865506.2126038,761
1742865506.2126436,728
1742865506.212674,711
1742865506.212704,681
1742865506.2457187,671
1742865506.2457967,653
1742865506.2458606,624
1742865506.245924,595
1742865506.2459865,625
1742865506.24605,621
1742865506.2796936,624
1742865506.2798777,652
1742865506.2800007,646
1742865506.2801282,628
1742865506.2802594,660
1742865506.2803895,642
1742865506.2805207,640
1742865506.3127253,658
1742865506.3129025,645
1742865506.313052,650
1742865506.3132005,635
1742865506.3133464,630
1742865506.313491,624
1742865506.3460016,593
1742865506.3461585,633
1742865506.346331,621
1742865506.3464634,615
1742865506.3465948,644
1742865506.346726,655
1742865506.3792195,643
1742865506.379423,627
1742865506.379512,608
1742865506.3795912,593
1742865506.3796694,582
1742865506.3797476,598
1742865506.3798242,594
1742865506.4124968,618
1742865506.4127252,625
1742865506.4128773,639
1742865506.4130359,647
1742865506.4132104,685
1742865506.413357,676
1742865506.4456418,660
1742865506.4459171,711
1742865506.4460707,719
1742865506.446228,709
1742865506.446375,709
1742865506.4465206,701
1742865506.446666,729
1742865506.4794528,731
1742865506.479872,705
1742865506.4800289,729
1742865506.4801602,726
1742865506.4802823,751
1742865506.4804022,771
1742865506.5123315,750
1742865506.5124986,787
1742865506.5126457,783
1742865506.5127778,786
1742865506.5129075,780
1742865506.513039,758
1742865506.5454905,798
1742865506.5457516,790
1742865506.5458956,795
1742865506.5460308,792
1742865506.546162,770
1742865506.546293,738
1742865506.546424,732
1742865506.5789673,715
1742865506.5791407,712
1742865506.5792983,710
1742865506.5796242,714
1742865506.5797908,760
1742865506.5799398,746
1742865506.6121075,750
1742865506.6122763,770
1742865506.6124108,768
1742865506.6125655,745
1742865506.6127071,729
1742865506.612841,707
1742865506.6129713,704
1742865506.6459963,675
1742865506.646181,696
1742865506.6463325,698
1742865506.6464803,674
1742865506.6466262,708
1742865506.646774,710
1742865506.6790617,708
1742865506.6792364,746
1742865506.6793756,730
1742865506.6799896,716
1742865506.6801531,703
1742865506.6802797,686
1742865506.7119148,682
1742865506.712158,661
1742865506.7122922,677
1742865506.7124321,708
1742865506.7125647,717
1742865506.7126994,724
1742865506.7128327,749
1742865506.7454371,763
1742865506.7455997,776
1742865506.7457392,791
1742865506.7458725,791
1742865506.7460096,797
1742865506.7461548,811
1742865506.7787526,799
1742865506.7789235,786
1742865506.779068,771
1742865506.7792072,748
1742865506.7793388,766
1742865506.7796726,768
1742865506.7798126,783
1742865506.8120987,772
1742865506.812265,756
1742865506.8123977,741
1742865506.812531,714
1742865506.8126624,692
1742865506.8127956,709
1742865506.8453472,719
1742865506.845514,697
1742865506.8456473,710
1742865506.8457837,686
1742865506.8459177,656
1742865506.846051,656
1742865506.8785982,695
1742865506.8788798,702
1742865506.8790364,701
1742865506.8792021,701
1742865506.8798034,666
1742865506.8801956,663
1742865506.880349,651
1742865506.9119463,638
1742865506.912114,650
1742865506.912252,633
1742865506.912387,640
1742865506.9125214,617
1742865506.9126549,603
1742865506.94524,638
1742865506.9454312,663
1742865506.9455836,647
1742865506.9457357,700
1742865506.9458833,683
1742865506.9460297,656
1742865506.9461772,642
1742865506.9786153,627
1742865506.9787934,617
1742865506.9789422,619
1742865506.9790885,588
1742865506.9792352,599
1742865506.9793818,604
1742865507.011722,605
1742865507.0118217,628
1742865507.0119004,635
1742865507.0119796,627
1742865507.0120578,650
1742865507.0121412,650
1742865507.0449927,659
1742865507.0452461,648
1742865507.0453837,630
1742865507.045525,640
1742865507.0456636,620
1742865507.0457962,633
1742865507.0459278,622
1742865507.0783534,604
1742865507.0785306,606
1742865507.0786805,591
1742865507.078826,620
1742865507.0789714,619
1742865507.07912,613
1742865507.1115482,625
1742865507.111721,619
1742865507.111875,598
1742865507.1120222,621
1742865507.112171,598
1742865507.1123238,606
1742865507.1124723,623
1742865507.1449938,611
1742865507.1451702,613
1742865507.1453452,605
1742865507.1455102,593
1742865507.1456563,606
1742865507.1458027,613
1742865507.1782048,602
1742865507.1783779,611
1742865507.1785367,616
1742865507.1786842,629
1742865507.1799016,647
1742865507.180058,638
1742865507.2115853,665
1742865507.21184,686
1742865507.211976,692
1742865507.2121067,670
1742865507.2122376,652
1742865507.2123568,640
1742865507.212477,613
1742865507.2448764,596
