timestamp,value
1742947781.639976,122
1742947781.639976,22
1742947781.639976,21
1742947781.639976,22
1742947781.639976,22
1742947781.639976,22
1742947781.639976,22
1742947781.639976,21
1742947781.6726496,22
1742947781.6726496,22
1742947781.6726496,21
1742947781.6726496,21
1742947781.673777,22
1742947781.673777,21
1742947781.673777,22
1742947781.673777,22
1742947781.706173,22
1742947781.706173,22
1742947781.706173,21
1742947781.706173,22
1742947781.7071714,22
1742947781.7071714,22
1742947781.7071714,21
1742947781.7071714,22
1742947781.7403672,21
1742947781.7403672,21
1742947781.7403672,22
1742947781.7403672,22
1742947781.7403672,21
1742947781.7403672,21
1742947781.7403672,22
1742947781.7413664,21
1742947781.772919,22
1742947781.773445,22
1742947781.773445,22
1742947781.773445,22
1742947781.773445,21
1742947781.773445,22
1742947781.773445,22
1742947781.773445,21
1742947781.8064575,22
1742947781.8064575,21
1742947781.8064575,21
1742947781.8064575,21
1742947781.8064575,24
1742947781.8064575,26
1742947781.8064575,30
1742947781.8064575,30
1742947781.8394616,30
1742947781.8394616,34
1742947781.8394616,37
1742947781.8394616,47
1742947781.8394616,46
1742947781.8394616,45
1742947781.8404756,54
1742947781.8404756,57
1742947781.8730736,67
1742947781.8730736,67
1742947781.8730736,83
1742947781.8730736,89
1742947781.8730736,95
1742947781.8730736,90
1742947781.8730736,93
1742947781.8730736,90
1742947781.9062753,88
1742947781.9062753,96
1742947781.9062753,107
1742947781.9062753,135
1742947781.9062753,165
1742947781.9073033,176
1742947781.9396088,180
1742947781.9396088,205
1742947781.9396088,197
1742947781.9396088,193
1742947781.9396088,180
1742947781.9396088,176
1742947781.9396088,165
1742947781.9731445,164
1742947781.9731445,168
1742947781.9731445,152
1742947781.9731445,138
1742947781.9731445,126
1742947781.9731445,114
1742947782.0061407,103
1742947782.0061407,96
1742947782.0061407,92
1742947782.0061407,87
1742947782.0061407,85
1742947782.0061407,85
1742947782.0061407,82
1742947782.0072603,77
1742947782.0394883,75
1742947782.0394883,83
1742947782.0394883,88
1742947782.0394883,88
1742947782.0394883,103
1742947782.0394883,106
1742947782.0404816,132
1742947782.0730863,134
1742947782.0730863,129
1742947782.0730863,117
1742947782.0730863,121
1742947782.0730863,128
1742947782.0730863,143
1742947782.0730863,144
1742947782.105703,151
1742947782.105703,141
1742947782.105703,131
1742947782.105703,124
1742947782.105703,119
1742947782.105703,121
1742947782.1385212,118
1742947782.1385212,127
1742947782.139874,127
1742947782.139874,133
1742947782.139874,125
1742947782.139874,116
1742947782.1725633,106
1742947782.1725633,120
1742947782.1725633,127
1742947782.1725633,119
1742947782.1725633,140
1742947782.1725633,165
1742947782.1725633,197
1742947782.2057378,189
1742947782.2057378,178
1742947782.2057378,172
1742947782.2057378,161
1742947782.2057378,148
1742947782.2057378,138
1742947782.2386801,139
1742947782.2386801,132
1742947782.2386801,122
1742947782.2399306,111
1742947782.2399306,112
1742947782.2399306,108
1742947782.2399306,102
1742947782.272781,98
1742947782.272781,91
1742947782.272781,85
1742947782.272781,80
1742947782.272781,75
1742947782.272781,74
1742947782.272781,77
1742947782.272781,74
1742947782.305359,69
1742947782.30636,71
1742947782.30636,75
1742947782.30636,71
1742947782.30636,67
1742947782.30636,64
1742947782.30636,62
1742947782.30636,59
1742947782.3389304,56
1742947782.3389304,53
1742947782.3389304,51
1742947782.3389304,48
1742947782.3389304,47
1742947782.3389304,44
1742947782.3389304,43
1742947782.3398829,42
1742947782.3722622,41
1742947782.3722622,39
1742947782.3722622,37
1742947782.3722622,36
1742947782.3722622,35
1742947782.3722622,34
1742947782.3722622,33
1742947782.3732753,31
1742947782.405961,32
1742947782.405961,31
1742947782.405961,31
1742947782.405961,30
1742947782.405961,29
1742947782.405961,29
1742947782.405961,28
1742947782.405961,27
1742947782.4387624,27
1742947782.4387624,28
1742947782.4387624,29
1742947782.4387624,27
1742947782.4387624,27
1742947782.4397607,27
1742947782.4397607,26
1742947782.4397607,25
1742947782.472482,26
1742947782.472482,26
1742947782.472482,25
1742947782.472482,24
1742947782.472482,25
1742947782.472482,24
1742947782.472482,24
1742947782.472482,24
1742947782.505852,24
1742947782.505852,24
1742947782.505852,23
1742947782.505852,23
1742947782.505852,23
1742947782.505852,23
1742947782.505852,24
1742947782.505852,24
1742947782.5391462,24
1742947782.5391462,23
1742947782.5391462,23
1742947782.5391462,24
1742947782.5391462,23
1742947782.5391462,22
1742947782.5391462,23
1742947782.5401583,23
1742947782.572438,23
1742947782.572438,23
1742947782.572438,22
1742947782.572438,22
1742947782.572438,22
1742947782.572438,23
1742947782.572438,22
1742947782.5729995,22
1742947782.6048825,23
1742947782.6058908,22
1742947782.6058908,23
1742947782.6058908,24
1742947782.6058908,23
1742947782.6058908,22
1742947782.6058908,23
1742947782.6058908,23
1742947782.6381793,23
1742947782.6393473,23
1742947782.6393473,22
1742947782.6393473,23
1742947782.6393473,23
1742947782.6393473,22
1742947782.6393473,23
1742947782.6393473,23
1742947782.6723113,23
1742947782.6723113,22
1742947782.6723113,22
1742947782.6723113,23
1742947782.6723113,23
1742947782.6723113,23
1742947782.6723113,24
1742947782.6723113,23
1742947782.7054906,23
1742947782.7054906,23
1742947782.7054906,23
1742947782.7054906,23
1742947782.7054906,22
1742947782.7054906,22
1742947782.7054906,22
1742947782.7054906,23
1742947782.7387583,22
1742947782.7387583,23
1742947782.7387583,23
1742947782.7387583,23
1742947782.7387583,22
1742947782.7387583,23
1742947782.7387583,23
1742947782.7387583,23
1742947782.77195,23
1742947782.77195,23
1742947782.77195,23
1742947782.7726946,23
1742947782.7729588,24
1742947782.7729588,23
1742947782.7729588,22
1742947782.7729588,22
1742947782.8056467,23
1742947782.8056467,23
1742947782.8056467,22
1742947782.8056467,23
1742947782.8056467,23
1742947782.8056467,22
1742947782.8056467,23
1742947782.8056467,23
1742947782.8383574,24
1742947782.8383574,25
1742947782.8383574,25
1742947782.8393571,24
1742947782.8393571,24
1742947782.8393571,23
1742947782.8393571,23
1742947782.8393571,23
1742947782.8719933,23
1742947782.8719933,24
1742947782.8719933,23
1742947782.8719933,23
1742947782.8725002,23
1742947782.8725002,23
1742947782.8725002,23
1742947782.8725002,22
1742947782.9050157,22
1742947782.9050157,22
1742947782.9050157,22
1742947782.9050157,22
1742947782.9050157,22
1742947782.9050157,22
1742947782.9050157,23
1742947782.9060147,22
1742947782.9386258,23
1742947782.9386258,22
1742947782.9386258,22
1742947782.9386258,22
1742947782.9386258,22
1742947782.9386258,23
1742947782.9386258,23
1742947782.9386258,22
1742947782.97192,23
1742947782.97192,23
1742947782.97192,23
1742947782.9724276,22
1742947782.9724276,22
1742947782.9724276,23
1742947782.9724276,22
1742947782.9724276,22
1742947783.004651,21
1742947783.004651,22
1742947783.0056477,22
1742947783.0056477,22
1742947783.0056477,23
1742947783.0056477,24
1742947783.0056477,23
1742947783.0056477,22
1742947783.0384202,22
1742947783.0384202,23
1742947783.0384202,22
1742947783.0384202,22
1742947783.0384202,23
1742947783.0384202,23
1742947783.0384202,22
1742947783.0384202,22
1742947783.0712094,22
1742947783.0712094,23
1742947783.0721571,22
1742947783.0721571,22
1742947783.0721571,22
1742947783.0721571,22
1742947783.0721571,23
1742947783.0721571,23
1742947783.104662,22
1742947783.104662,23
1742947783.105692,23
1742947783.105692,23
1742947783.105692,22
1742947783.105692,22
1742947783.105692,21
1742947783.105692,22
1742947783.1377192,22
1742947783.1387317,22
1742947783.1387317,22
1742947783.1387317,22
1742947783.1387317,22
1742947783.1387317,22
1742947783.1387317,21
1742947783.1387317,21
1742947783.171914,21
1742947783.171914,22
1742947783.171914,21
1742947783.171914,22
1742947783.171914,21
1742947783.171914,21
1742947783.171914,22
1742947783.171914,22
