timestamp,value
1742865556.065909,504
1742865556.0659924,503
1742865556.0660555,502
1742865556.0661166,501
1742865556.0661821,500
1742865556.0989742,499
1742865556.0990496,499
1742865556.0991142,498
1742865556.0991778,497
1742865556.0992408,496
1742865556.099312,496
1742865556.132063,496
1742865556.132133,496
1742865556.1321657,486
1742865556.1321962,505
1742865556.1322272,494
1742865556.132259,488
1742865556.1322892,474
1742865556.1654348,496
1742865556.165475,490
1742865556.165506,507
1742865556.165537,508
1742865556.1655695,512
1742865556.1656,508
1742865556.1987724,531
1742865556.1988163,524
1742865556.1988475,507
1742865556.1988773,548
1742865556.1989083,547
1742865556.1989386,542
1742865556.1989686,560
1742865556.2321181,552
1742865556.2322192,551
1742865556.232298,543
1742865556.2323787,534
1742865556.232456,540
1742865556.2325346,519
1742865556.2653952,518
1742865556.265543,515
1742865556.2656553,508
1742865556.265768,508
1742865556.2658772,483
1742865556.2659938,468
1742865556.298783,469
1742865556.2990093,466
1742865556.2993653,463
1742865556.2995071,458
1742865556.2996292,443
1742865556.2997563,445
1742865556.2998784,460
1742865556.332149,448
1742865556.3322773,445
1742865556.3324006,463
1742865556.3325229,482
1742865556.3326328,489
1742865556.3327425,478
1742865556.3654616,464
1742865556.3656433,446
1742865556.3657932,435
1742865556.365948,446
1742865556.3660955,442
1742865556.3662457,437
1742865556.366421,421
1742865556.3993926,425
1742865556.399491,430
1742865556.399575,436
1742865556.3996637,418
1742865556.3997464,439
1742865556.3998284,445
1742865556.432067,458
1742865556.432214,460
1742865556.4323416,453
1742865556.4324696,464
1742865556.4325902,445
1742865556.4327097,440
1742865556.4650095,474
1742865556.4650972,464
1742865556.4651458,467
1742865556.465192,470
1742865556.4652388,467
1742865556.4652846,496
1742865556.4653318,502
1742865556.4997387,495
1742865556.4999075,492
1742865556.5000417,508
1742865556.5001774,500
1742865556.5003183,502
1742865556.5004508,483
1742865556.5318196,470
1742865556.5318837,501
1742865556.531938,499
1742865556.532004,501
1742865556.5320668,485
1742865556.5321293,478
1742865556.5321903,469
1742865556.5652168,459
1742865556.5653179,482
1742865556.565403,479
1742865556.5654907,471
1742865556.56558,455
1742865556.5656645,451
1742865556.5986571,459
1742865556.598836,452
1742865556.5989847,438
1742865556.5992787,424
1742865556.5994818,403
1742865556.5996306,384
1742865556.6316636,397
1742865556.6317403,396
1742865556.631782,391
1742865556.6318226,394
1742865556.6318634,392
1742865556.631903,404
1742865556.6319432,402
1742865556.6651227,393
1742865556.6652577,392
1742865556.665372,387
1742865556.6654909,398
1742865556.665601,396
1742865556.6657183,379
1742865556.698194,378
1742865556.6982853,374
1742865556.6983616,368
1742865556.6984355,396
1742865556.6985142,386
1742865556.6985884,395
1742865556.698662,424
