timestamp,value
1742947804.222757,23.0
1742947804.222757,23.0
1742947804.222757,22.0
1742947804.222757,22.0
1742947804.222757,23.0
1742947804.222757,23.0
1742947804.222757,23.0
1742947804.2562778,22.0
1742947804.2562778,22.0
1742947804.2562778,22.0
1742947804.2562778,23.0
1742947804.2572763,23.0
1742947804.2572763,22.0
1742947804.2572763,23.0
1742947804.2572763,24.0
1742947804.289104,23.0
1742947804.289104,23.0
1742947804.289104,23.0
1742947804.289104,22.0
1742947804.289104,22.0
1742947804.289104,22.0
1742947804.289104,21.0
1742947804.289104,22.0
1742947804.3218093,22.0
1742947804.3218093,22.0
1742947804.3218093,21.0
1742947804.3229728,21.0
1742947804.3229728,21.0
1742947804.3229728,22.0
1742947804.3229728,22.0
1742947804.3229728,21.0
1742947804.355144,21.0
1742947804.355144,22.0
1742947804.3561544,22.0
1742947804.3561544,21.0
1742947804.3561544,22.0
1742947804.3561544,22.0
1742947804.3561544,22.0
1742947804.3561544,22.0
1742947804.3891132,22.0
1742947804.3891132,21.0
1742947804.3891132,21.0
1742947804.3891132,21.0
1742947804.3891132,21.0
1742947804.3891132,21.0
1742947804.3891132,22.0
1742947804.3891132,22.0
1742947804.4224946,22.0
1742947804.4224946,22.0
1742947804.4224946,22.0
1742947804.4224946,22.0
1742947804.4224946,22.0
1742947804.4224946,21.0
1742947804.4224946,21.0
1742947804.4224946,22.0
1742947804.4555025,22.0
1742947804.4555025,21.0
1742947804.4555025,21.0
1742947804.4555025,22.0
1742947804.4555025,23.0
1742947804.4555025,23.0
1742947804.4555025,23.0
1742947804.4555025,22.0
1742947804.488768,23.0
1742947804.488768,22.0
1742947804.488768,22.0
1742947804.488768,22.0
1742947804.488768,22.0
1742947804.4897692,22.0
1742947804.4897692,22.0
1742947804.4897692,22.0
1742947804.5220745,26.0
1742947804.5220745,40.0
1742947804.5220745,46.0
1742947804.5220745,52.0
1742947804.5220745,63.0
1742947804.5220745,62.0
1742947804.5220745,60.0
1742947804.5220745,68.0
1742947804.5552611,69.0
1742947804.5552611,68.0
1742947804.5562773,72.0
1742947804.5562773,76.0
1742947804.5562773,75.0
1742947804.5562773,71.0
1742947804.5562773,67.0
1742947804.5562773,65.0
1742947804.5887172,64.0
1742947804.5887172,61.0
1742947804.5887172,60.0
1742947804.5887172,58.0
1742947804.5887172,54.0
1742947804.5887172,52.0
1742947804.5887172,51.0
1742947804.5897162,53.0
1742947804.621766,53.0
1742947804.621766,58.0
1742947804.621766,56.0
1742947804.621766,62.0
1742947804.621766,63.0
1742947804.621766,67.0
1742947804.622759,69.0
1742947804.622759,66.0
1742947804.6556504,69.0
1742947804.6556504,68.0
1742947804.6556504,68.0
1742947804.6556504,71.0
1742947804.6556504,71.0
1742947804.6556504,69.0
1742947804.6556504,77.0
1742947804.6556504,79.0
1742947804.6881926,78.0
1742947804.6881926,89.0
1742947804.6881926,92.0
1742947804.6881926,86.0
1742947804.6881926,81.0
1742947804.6881926,80.0
1742947804.6881926,76.0
1742947804.6881926,72.0
1742947804.722036,68.0
1742947804.722036,63.0
1742947804.722036,61.0
1742947804.722036,58.0
1742947804.722036,55.0
1742947804.7230422,54.0
1742947804.7230422,53.0
1742947804.7230422,54.0
1742947804.75504,51.0
1742947804.75504,50.0
1742947804.7559495,48.0
1742947804.7559495,46.0
1742947804.7559495,46.0
1742947804.7559495,48.0
1742947804.7559495,52.0
1742947804.7559495,51.0
1742947804.7882445,49.0
1742947804.7882445,54.0
1742947804.7882445,53.0
1742947804.7882445,51.0
1742947804.7882445,50.0
1742947804.7882445,47.0
1742947804.7882445,45.0
1742947804.7882445,44.0
1742947804.821251,44.0
1742947804.821251,47.0
1742947804.821251,46.0
1742947804.822714,45.0
1742947804.822714,52.0
