timestamp,value
1742947976.0014188,119
1742947976.001926,119
1742947976.001926,118
1742947976.001926,119
1742947976.001926,120
1742947976.0342128,120
1742947976.0342128,121
1742947976.0342128,121
1742947976.0342128,122
1742947976.0352147,122
1742947976.0352147,123
1742947976.0677035,123
1742947976.0677035,124
1742947976.0677035,123
1742947976.0677035,131
1742947976.0677035,128
1742947976.0677035,123
1742947976.0677035,122
1742947976.1019812,123
1742947976.1019812,123
1742947976.1019812,123
1742947976.1019812,119
1742947976.1019812,110
1742947976.1026683,106
1742947976.134659,126
1742947976.134659,129
1742947976.134659,150
1742947976.134659,144
1742947976.134659,153
1742947976.134659,143
1742947976.134659,147
1742947976.1673343,147
1742947976.1684923,142
1742947976.1684923,139
1742947976.1684923,137
1742947976.1684923,126
1742947976.1684923,115
1742947976.2004797,108
1742947976.201491,99
1742947976.201491,93
1742947976.201491,88
1742947976.201491,93
1742947976.201491,101
1742947976.201491,108
1742947976.2348242,122
1742947976.2348242,131
1742947976.2348242,139
1742947976.2348242,167
1742947976.2348242,190
1742947976.2348242,192
1742947976.2348242,181
1742947976.2679217,169
1742947976.2679217,155
1742947976.2679217,145
1742947976.2679217,133
1742947976.2679217,127
1742947976.2679217,127
1742947976.301222,123
1742947976.301222,116
1742947976.301222,115
1742947976.301222,115
1742947976.301222,109
1742947976.301222,113
1742947976.3341343,114
1742947976.3341343,105
1742947976.3351207,100
1742947976.3351207,96
1742947976.3351207,91
1742947976.3351207,88
1742947976.3351207,85
1742947976.3351207,84
1742947976.3676379,78
1742947976.3676379,73
1742947976.3676379,70
1742947976.3686266,67
1742947976.3686266,65
1742947976.3686266,64
1742947976.3686266,61
1742947976.3686266,60
1742947976.401345,60
1742947976.401345,59
1742947976.401345,60
1742947976.401345,62
1742947976.401345,61
1742947976.401345,60
1742947976.401345,58
1742947976.401345,55
1742947976.4341002,53
1742947976.4341002,51
1742947976.4341002,49
1742947976.4341002,47
1742947976.4341002,44
1742947976.4350998,42
1742947976.4350998,43
1742947976.4350998,41
1742947976.467493,40
1742947976.467493,39
1742947976.467493,39
1742947976.467493,39
1742947976.468478,54
1742947976.468478,54
1742947976.468478,55
1742947976.468478,54
1742947976.499765,55
1742947976.5012887,55
1742947976.5012887,53
1742947976.5012887,49
1742947976.5012887,50
1742947976.5012887,49
1742947976.5012887,47
1742947976.5012887,47
1742947976.5336497,45
1742947976.5346503,43
1742947976.5346503,42
1742947976.5346503,39
1742947976.5346503,39
1742947976.5346503,40
1742947976.5346503,42
1742947976.5346503,41
1742947976.5677154,42
1742947976.5677154,44
1742947976.5677154,42
1742947976.5677154,41
1742947976.5677154,39
1742947976.5677154,40
1742947976.5677154,41
1742947976.5677154,42
1742947976.6010108,40
1742947976.6010108,41
1742947976.6010108,39
1742947976.6010108,37
1742947976.6010108,37
1742947976.6010108,35
1742947976.6010108,34
1742947976.6010108,34
1742947976.6340277,33
1742947976.6340277,33
1742947976.6340277,31
1742947976.6340277,31
1742947976.6340277,30
1742947976.6340277,33
1742947976.6340277,32
1742947976.6340277,32
1742947976.6671236,31
1742947976.6676836,35
1742947976.6676836,35
1742947976.6676836,34
1742947976.6676836,35
1742947976.6676836,34
1742947976.6676836,33
1742947976.6687005,34
1742947976.7005403,38
1742947976.7005403,45
1742947976.7005403,44
1742947976.7005403,45
1742947976.7005403,43
1742947976.7005403,41
1742947976.7005403,39
1742947976.7005403,38
1742947976.7339497,37
1742947976.7339497,35
1742947976.7339497,38
1742947976.7339497,36
1742947976.7339497,35
1742947976.7339497,34
1742947976.7339497,33
1742947976.7339497,33
1742947976.7675185,34
1742947976.7675185,37
1742947976.7675185,36
1742947976.7675185,37
1742947976.7675185,37
1742947976.7675185,36
1742947976.7675185,35
1742947976.7675185,37
1742947976.799877,36
1742947976.799877,34
1742947976.799877,35
1742947976.799877,34
1742947976.8013887,34
1742947976.8013887,32
1742947976.8013887,33
1742947976.8013887,32
1742947976.8335073,31
1742947976.8335073,30
1742947976.8335073,29
1742947976.8335073,28
1742947976.8335073,29
1742947976.8346052,29
1742947976.8346052,29
1742947976.8346052,28
1742947976.8672354,28
1742947976.8672354,30
1742947976.8683364,30
1742947976.8683364,31
1742947976.8683364,30
1742947976.8683364,32
1742947976.8683364,32
1742947976.8683364,31
1742947976.90049,31
1742947976.90049,30
1742947976.90049,30
1742947976.90049,29
1742947976.90049,28
1742947976.90049,29
1742947976.90049,28
1742947976.9014907,29
1742947976.933247,31
1742947976.9342945,31
1742947976.9342945,31
1742947976.9342945,31
1742947976.9342945,31
1742947976.9342945,33
1742947976.9342945,33
1742947976.9342945,32
1742947976.967508,31
1742947976.967508,33
1742947976.967508,33
1742947976.967508,32
1742947976.967508,32
1742947976.968501,32
1742947976.968501,34
1742947976.968501,33
1742947977.000273,33
1742947977.000273,32
1742947977.000273,31
1742947977.000273,31
1742947977.000273,30
1742947977.000273,30
1742947977.000273,29
1742947977.0012684,29
1742947977.0331614,29
1742947977.0331614,29
1742947977.0331614,27
1742947977.034164,28
1742947977.034164,29
1742947977.034164,30
1742947977.034164,29
1742947977.034164,30
1742947977.066699,29
1742947977.066699,28
1742947977.066699,28
1742947977.066699,27
1742947977.0675485,29
1742947977.0675485,29
1742947977.0675485,28
1742947977.0675485,28
1742947977.1003592,29
1742947977.1003592,29
1742947977.1003592,32
1742947977.1003592,32
1742947977.1003592,30
1742947977.1003592,29
1742947977.1003592,30
1742947977.1003592,29
1742947977.1337843,29
1742947977.1337843,28
1742947977.1337843,28
1742947977.1337843,27
1742947977.1337843,27
1742947977.1337843,27
1742947977.1337843,28
1742947977.1337843,28
1742947977.1671681,28
1742947977.1671681,30
1742947977.1671681,29
1742947977.1671681,29
1742947977.1671681,29
1742947977.1671681,27
1742947977.1681714,26
1742947977.1681714,27
1742947977.2002966,27
1742947977.2002966,27
1742947977.2002966,26
1742947977.2002966,26
1742947977.2002966,25
1742947977.2002966,27
1742947977.2002966,32
1742947977.2002966,35
1742947977.2335424,35
1742947977.2335424,34
1742947977.2335424,32
1742947977.2335424,31
1742947977.2335424,31
1742947977.2335424,31
1742947977.2335424,30
1742947977.2335424,30
1742947977.2668653,29
1742947977.2676418,28
1742947977.2676418,28
1742947977.2676418,27
1742947977.2686212,26
1742947977.2686212,28
1742947977.2686212,30
1742947977.2686212,30
1742947977.2996738,30
1742947977.2996738,31
1742947977.2996738,30
1742947977.2996738,29
1742947977.2996738,29
1742947977.2996738,32
1742947977.2996738,31
1742947977.2996738,30
1742947977.333369,30
1742947977.333369,30
1742947977.333369,30
1742947977.333369,30
1742947977.333369,30
1742947977.333369,29
1742947977.333369,29
1742947977.333369,28
1742947977.3668916,27
1742947977.3668916,27
1742947977.3668916,26
1742947977.3668916,27
1742947977.3668916,28
1742947977.3668916,28
1742947977.3668916,29
1742947977.3668916,29
1742947977.4000542,30
1742947977.4000542,31
1742947977.4000542,30
1742947977.4000542,29
1742947977.4000542,31
1742947977.4000542,32
1742947977.4000542,30
1742947977.4000542,29
1742947977.4327142,29
1742947977.4327142,27
1742947977.4327142,27
1742947977.4327142,26
1742947977.4327142,27
1742947977.4327142,27
1742947977.4338562,27
1742947977.4338562,29
1742947977.4666758,29
1742947977.4666758,30
1742947977.4666758,29
1742947977.4666758,29
1742947977.4666758,28
1742947977.4666758,28
1742947977.4666758,27
1742947977.4666758,27
1742947977.500181,28
1742947977.500181,28
1742947977.500181,27
1742947977.500181,27
1742947977.500181,26
1742947977.500181,26
1742947977.500181,27
1742947977.500181,27
1742947977.5328763,27
1742947977.5328763,27
1742947977.5328763,27
1742947977.5328763,27
1742947977.5328763,27
1742947977.5338998,27
1742947977.5338998,29
1742947977.5338998,30
1742947977.5665734,30
1742947977.5665734,30
1742947977.5665734,30
1742947977.5670846,34
1742947977.5670846,32
1742947977.5670846,33
1742947977.5670846,32
1742947977.5670846,32
1742947977.6000147,35
1742947977.6000147,33
1742947977.6000147,33
1742947977.6000147,33
1742947977.6000147,33
1742947977.6000147,31
1742947977.6000147,31
1742947977.6000147,30
1742947977.6326475,31
1742947977.6326475,30
1742947977.6336381,30
1742947977.6336381,30
1742947977.6336381,29
1742947977.6336381,30
1742947977.6336381,31
1742947977.6336381,31
1742947977.6666331,30
1742947977.6666331,29
1742947977.6666331,29
1742947977.6666331,28
1742947977.6666331,28
1742947977.667488,28
1742947977.667488,28
1742947977.667488,28
1742947977.699347,27
1742947977.699347,27
1742947977.699347,27
1742947977.699347,26
1742947977.7002347,27
1742947977.7002347,28
1742947977.7002347,29
1742947977.7002347,30
1742947977.732596,30
1742947977.732596,30
1742947977.732596,29
1742947977.7335978,31
1742947977.7335978,30
1742947977.7335978,29
1742947977.7335978,28
1742947977.7335978,30
1742947977.7663913,30
1742947977.7663913,32
1742947977.766903,33
1742947977.766903,32
1742947977.766903,31
1742947977.766903,30
1742947977.766903,30
1742947977.766903,30
1742947977.7995195,30
1742947977.7995195,30
1742947977.7995195,30
1742947977.7995195,30
1742947977.7995195,29
1742947977.7995195,29
1742947977.7995195,28
1742947977.7995195,27
1742947977.8325393,27
1742947977.8330514,28
1742947977.8330514,30
1742947977.8330514,29
1742947977.8330514,30
1742947977.8330514,30
1742947977.8330514,29
1742947977.8330514,29
1742947977.8653498,29
1742947977.8663452,30
1742947977.8663452,30
1742947977.8663452,31
1742947977.8663452,31
1742947977.8663452,30
1742947977.8663452,29
1742947977.8669646,29
1742947977.8995287,30
1742947977.8995287,32
1742947977.8995287,31
1742947977.8995287,30
1742947977.8995287,30
1742947977.8995287,31
1742947977.8995287,31
1742947977.8995287,32
1742947977.9322288,31
1742947977.9322288,31
1742947977.9332101,30
1742947977.9332101,29
1742947977.9332101,29
1742947977.9332101,28
1742947977.9332101,28
1742947977.9332101,28
1742947977.9648743,30
1742947977.9648743,29
1742947977.9663813,30
1742947977.9663813,30
1742947977.9663813,30
1742947977.9663813,28
1742947977.9663813,28
1742947977.9663813,27
1742947977.9994903,27
1742947977.9994903,25
1742947977.9994903,25
1742947977.9994903,28
1742947977.9994903,29
1742947977.9994903,29
1742947977.9994903,30
1742947977.9994903,29
1742947978.032361,29
1742947978.0328732,28
1742947978.0328732,27
1742947978.0328732,27
1742947978.0328732,27
1742947978.0328732,26
1742947978.0328732,25
1742947978.0328732,26
1742947978.0650377,25
1742947978.0650377,27
1742947978.0650377,29
1742947978.0650377,31
1742947978.0650377,29
1742947978.0664146,29
1742947978.0664146,28
1742947978.0664146,28
1742947978.0987096,27
1742947978.0987096,26
1742947978.0987096,25
1742947978.0987096,26
1742947978.09972,25
1742947978.09972,25
1742947978.09972,27
1742947978.09972,27
1742947978.132384,28
1742947978.132384,28
1742947978.132384,28
1742947978.132384,28
1742947978.132384,28
1742947978.132384,27
1742947978.132384,27
1742947978.132384,26
1742947978.1660075,26
1742947978.1660075,26
1742947978.1660075,26
1742947978.1660075,26
1742947978.1660075,28
1742947978.1660075,30
1742947978.1660075,30
1742947978.1665685,30
1742947978.1989698,29
1742947978.1989698,28
1742947978.1989698,27
1742947978.1989698,27
1742947978.1989698,27
1742947978.1989698,29
1742947978.1989698,32
1742947978.1999667,32
1742947978.2320044,31
1742947978.2320044,30
1742947978.2320044,30
1742947978.2320044,30
1742947978.2320044,30
1742947978.2320044,30
1742947978.2320044,30
1742947978.2330134,30
1742947978.264551,31
1742947978.264551,31
1742947978.264551,31
1742947978.2660797,30
1742947978.266147,30
1742947978.266147,30
1742947978.266147,30
1742947978.266147,30
1742947978.2982435,29
1742947978.2992606,30
1742947978.2992606,29
1742947978.2992606,29
1742947978.2992606,28
1742947978.2992606,28
1742947978.2992606,28
1742947978.2992606,27
1742947978.332253,26
1742947978.332253,26
1742947978.332253,26
1742947978.332253,25
1742947978.332253,26
1742947978.332253,26
1742947978.332253,28
1742947978.332253,28
1742947978.3648078,27
1742947978.3648078,29
1742947978.3648078,28
1742947978.3648078,28
1742947978.3648078,28
1742947978.3648078,30
1742947978.3648078,29
1742947978.3648078,29
1742947978.3986814,28
1742947978.3986814,28
1742947978.3986814,27
1742947978.3986814,26
1742947978.3986814,26
1742947978.3986814,25
1742947978.3986814,27
1742947978.3986814,32
1742947978.4318156,37
1742947978.4318156,37
1742947978.4318156,36
1742947978.4318156,35
1742947978.4326332,34
1742947978.4326332,32
1742947978.4326332,32
1742947978.4326332,31
1742947978.4645905,30
1742947978.4645905,29
1742947978.4645905,28
1742947978.4645905,29
1742947978.4661584,28
1742947978.4661584,27
1742947978.4661584,26
1742947978.4661584,27
1742947978.4985633,25
1742947978.4985633,27
1742947978.4985633,30
1742947978.4985633,30
1742947978.4985633,31
1742947978.4985633,31
1742947978.4985633,30
1742947978.4985633,29
1742947978.5317733,29
1742947978.5317733,28
1742947978.5317733,27
1742947978.5317733,27
1742947978.5317733,26
1742947978.5317733,26
1742947978.5317733,26
1742947978.5317733,27
1742947978.564949,28
1742947978.564949,28
1742947978.564949,28
1742947978.564949,29
1742947978.564949,29
1742947978.564949,29
1742947978.565943,28
1742947978.565943,27
1742947978.598965,26
1742947978.598965,27
1742947978.598965,27
1742947978.598965,27
1742947978.598965,27
1742947978.598965,27
1742947978.598965,27
1742947978.598965,27
1742947978.6319518,27
1742947978.6319518,26
1742947978.6319518,27
1742947978.6319518,27
1742947978.6319518,27
1742947978.6319518,29
1742947978.6319518,30
1742947978.6319518,30
1742947978.6648767,29
1742947978.6648767,28
1742947978.6648767,28
1742947978.6648767,28
1742947978.6648767,27
1742947978.6648767,27
1742947978.6648767,28
1742947978.6648767,28
1742947978.698625,29
1742947978.698625,29
1742947978.698625,29
1742947978.698625,28
1742947978.698625,29
1742947978.698625,28
1742947978.698625,27
1742947978.698625,26
1742947978.7318325,27
1742947978.7318325,27
1742947978.7318325,29
1742947978.7318325,29
1742947978.7318325,29
1742947978.7318325,28
1742947978.7318325,28
1742947978.7318325,27
1742947978.7649338,27
1742947978.7649338,26
1742947978.7649338,26
1742947978.7649338,27
1742947978.7649338,26
1742947978.7659354,27
1742947978.7659354,28
1742947978.7659354,27
1742947978.7981882,27
1742947978.7981882,28
1742947978.7981882,29
1742947978.7981882,28
1742947978.7981882,28
1742947978.7981882,28
1742947978.7981882,27
1742947978.7981882,26
1742947978.8310385,26
1742947978.8320534,25
1742947978.8320534,27
1742947978.8320534,26
1742947978.8320534,29
1742947978.8320534,28
1742947978.8320534,28
1742947978.8320534,27
1742947978.8647645,27
1742947978.8647645,26
1742947978.8647645,26
1742947978.8647645,25
1742947978.8647645,27
1742947978.8647645,27
1742947978.8647645,26
1742947978.8647645,26
1742947978.898114,26
1742947978.898114,25
1742947978.898114,25
1742947978.898114,25
1742947978.898114,26
1742947978.898114,28
1742947978.898114,27
1742947978.898114,27
1742947978.9310057,26
