timestamp,value
1742865519.3329537,458
1742865519.3331504,457
1742865519.3333013,456
1742865519.33345,456
1742865519.3335977,455
1742865519.3656209,455
1742865519.3657176,457
1742865519.365797,458
1742865519.3658767,462
1742865519.3659554,464
1742865519.366039,464
1742865519.3987918,463
1742865519.3988624,462
1742865519.3988934,469
1742865519.3989244,496
1742865519.3989556,488
1742865519.3989863,470
1742865519.3990161,443
1742865519.4321682,464
1742865519.4322076,462
1742865519.4322379,474
1742865519.4322677,476
1742865519.4323,475
1742865519.432331,482
1742865519.4653177,471
1742865519.4653594,450
1742865519.4653895,454
1742865519.4654193,446
1742865519.4654486,426
1742865519.4654784,422
1742865519.4655085,409
1742865519.4986956,405
1742865519.4987354,404
1742865519.4987662,401
1742865519.4987962,400
1742865519.498828,395
1742865519.4988582,408
1742865519.5320344,416
1742865519.5321407,410
1742865519.5322309,399
1742865519.5323203,391
1742865519.5324073,394
1742865519.5324976,410
1742865519.5654178,402
1742865519.5655196,401
1742865519.5655653,403
1742865519.5656106,405
1742865519.5656605,432
1742865519.5657067,423
1742865519.5657508,408
1742865519.5988462,400
1742865519.5989482,388
1742865519.59904,371
1742865519.5991387,356
1742865519.5992281,337
1742865519.5993202,322
1742865519.6322434,307
1742865519.6324244,289
1742865519.6325748,278
1742865519.6327274,261
1742865519.6328743,262
1742865519.6330204,275
1742865519.6332123,276
1742865519.6654942,275
1742865519.6657677,264
1742865519.6659422,265
1742865519.666076,252
1742865519.6662078,258
1742865519.66633,266
1742865519.698709,289
1742865519.698855,304
1742865519.698978,322
1742865519.699183,385
1742865519.6993132,433
1742865519.6994257,452
1742865519.7317183,458
1742865519.7318573,457
1742865519.7319388,460
1742865519.732018,451
1742865519.732103,438
1742865519.7321813,417
1742865519.73226,392
1742865519.765281,368
1742865519.7653852,345
1742865519.7654698,341
1742865519.7655659,341
1742865519.7656577,333
1742865519.76574,334
1742865519.7985942,333
1742865519.7987432,342
1742865519.7988644,350
1742865519.798986,346
1742865519.7991052,358
1742865519.7993324,377
1742865519.7994566,391
1742865519.831992,408
1742865519.8321629,406
1742865519.8323414,424
1742865519.8324907,443
1742865519.8326533,435
1742865519.8328013,433
1742865519.8655953,439
1742865519.8657842,439
1742865519.865937,459
1742865519.8660817,449
1742865519.8662157,463
1742865519.8663473,496
1742865519.89849,540
1742865519.8988001,556
1742865519.8989403,588
1742865519.8990765,622
1742865519.8992114,682
1742865519.8993483,677
1742865519.8994803,684
1742865519.9318416,693
1742865519.9319067,671
1742865519.9319603,668
1742865519.9320161,661
1742865519.9320714,651
1742865519.9321222,635
1742865519.9651403,618
1742865519.9653254,677
1742865519.9654822,684
1742865519.9656296,706
1742865519.9657757,764
1742865519.9659224,897
1742865519.9660678,922
1742865519.9986231,931
1742865519.9987645,932
1742865519.998875,931
1742865519.9989853,931
1742865519.999094,931
1742865519.999196,932
1742865520.0317278,932
1742865520.0318737,932
1742865520.032005,932
1742865520.0321257,931
1742865520.0322404,899
1742865520.0323503,881
1742865520.0648677,868
1742865520.0650811,866
1742865520.0652037,882
1742865520.0653336,878
1742865520.0654535,876
1742865520.0655732,856
1742865520.0656965,868
1742865520.0980067,880
1742865520.0980725,900
1742865520.09813,926
1742865520.098186,913
1742865520.0982375,912
1742865520.0982885,908
1742865520.131516,900
1742865520.1316938,877
1742865520.1318777,876
1742865520.1320586,833
1742865520.1322093,836
1742865520.132355,831
1742865520.1325154,841
1742865520.1649876,823
1742865520.1651084,802
1742865520.1652195,830
1742865520.1653218,827
1742865520.1654227,811
1742865520.165526,789
1742865520.1982753,763
