timestamp,value
1742950817.174989,102
1742950817.174989,102
1742950817.174989,101
1742950817.1759894,101
1742950817.1759894,100
1742950817.2085288,100
1742950817.2085288,100
1742950817.2085288,100
1742950817.2085288,101
1742950817.2085288,101
1742950817.2085288,102
1742950817.2410724,102
1742950817.2410724,101
1742950817.2420726,98
1742950817.2420726,93
1742950817.2420726,89
1742950817.2420726,85
1742950817.2420726,80
1742950817.2420726,88
1742950817.2752438,83
1742950817.2752438,81
1742950817.2752438,116
1742950817.2752438,120
1742950817.2752438,129
1742950817.2752438,931
1742950817.2752438,932
1742950817.3087406,932
1742950817.3087406,932
1742950817.3087406,932
1742950817.3087406,932
1742950817.3087406,932
1742950817.3087406,931
1742950817.3416653,932
1742950817.3416653,932
1742950817.3416653,931
1742950817.3416653,931
1742950817.3416653,932
1742950817.3416653,932
1742950817.3416653,931
1742950817.37455,932
1742950817.3752124,932
1742950817.3752124,932
1742950817.3752124,932
1742950817.3752124,932
1742950817.3752124,932
1742950817.408256,932
1742950817.408256,931
1742950817.408256,932
1742950817.408256,932
1742950817.408256,932
1742950817.408256,932
1742950817.4409742,932
1742950817.4409742,931
1742950817.4419773,932
1742950817.4419773,932
1742950817.4419773,932
1742950817.4419773,931
1742950817.4419773,931
1742950817.474459,931
1742950817.474459,931
1742950817.474459,930
1742950817.474459,892
1742950817.4754596,798
1742950817.4754596,932
1742950817.5082192,932
1742950817.5082192,932
1742950817.5082192,932
1742950817.5082192,932
1742950817.5082192,932
1742950817.5082192,931
1742950817.5087245,932
1742950817.541352,931
1742950817.541352,932
1742950817.541352,931
1742950817.541352,932
1742950817.541352,931
1742950817.541352,931
1742950817.574308,931
1742950817.574308,898
1742950817.574308,806
1742950817.5753052,726
1742950817.5753052,651
1742950817.5753052,667
1742950817.607214,629
1742950817.6082854,654
1742950817.6082854,619
1742950817.6082854,570
1742950817.6082854,516
1742950817.6082854,468
1742950817.6082854,424
1742950817.6416478,379
1742950817.6416478,397
1742950817.6416478,372
1742950817.6416478,338
1742950817.6416478,305
1742950817.6416478,278
1742950817.6746678,252
1742950817.6746678,227
1742950817.6746678,207
1742950817.6746678,188
1742950817.6746678,173
1742950817.6746678,156
1742950817.675573,144
1742950817.7075665,133
1742950817.7075665,122
1742950817.7085514,791
1742950817.7085514,867
1742950817.7085514,858
1742950817.7085514,809
1742950817.7414906,748
1742950817.7414906,682
1742950817.7414906,617
1742950817.7414906,557
1742950817.7414906,501
1742950817.7414906,453
1742950817.7743735,404
1742950817.7743735,363
1742950817.7743735,327
1742950817.7743735,295
1742950817.7750912,265
1742950817.7750912,240
1742950817.7750912,314
1742950817.8073597,317
1742950817.8073597,307
1742950817.8082542,290
1742950817.8082542,265
1742950817.8082542,238
1742950817.8082542,218
1742950817.840575,200
1742950817.841526,180
1742950817.841526,164
1742950817.841526,152
1742950817.841526,139
1742950817.841526,126
1742950817.841526,118
1742950817.874805,108
1742950817.874925,101
1742950817.874925,93
1742950817.874925,89
1742950817.874925,84
1742950817.874925,82
1742950817.874925,77
1742950817.9073515,74
1742950817.9073515,71
1742950817.9082878,67
1742950817.9082878,66
1742950817.9082878,62
1742950817.9082878,60
1742950817.9082878,59
1742950817.9082878,56
1742950817.9405613,55
1742950817.9405613,53
1742950817.9405613,536
1742950817.9415817,626
1742950817.9415817,630
1742950817.9415817,603
1742950817.9415817,563
1742950817.9737995,514
1742950817.9737995,466
1742950817.9747434,423
1742950817.9747434,382
1742950817.9747434,341
1742950817.9747434,309
1742950818.0068028,279
1742950818.0068028,252
1742950818.0068028,227
1742950818.0068028,207
1742950818.0068028,188
1742950818.0084267,170
1742950818.0084267,155
1742950818.0411062,142
1742950818.0411062,131
1742950818.0411062,119
1742950818.0411062,112
1742950818.0411062,104
1742950818.0411062,95
1742950818.0736427,90
1742950818.0736427,85
1742950818.0736427,80
1742950818.0736427,146
1742950818.0736427,157
1742950818.0736427,153
1742950818.0736427,146
1742950818.107241,137
1742950818.1081395,124
1742950818.1081395,114
1742950818.1086495,108
1742950818.1086495,99
1742950818.1086495,93
1742950818.1086495,89
1742950818.1404853,84
1742950818.1404853,81
1742950818.1404853,110
1742950818.1415057,155
1742950818.1415057,158
1742950818.1415057,151
1742950818.1415057,139
1742950818.1745555,130
1742950818.1745555,119
1742950818.1745555,110
1742950818.1745555,102
1742950818.1745555,95
1742950818.1745555,89
1742950818.1745555,84
1742950818.2069879,80
1742950818.2069879,76
1742950818.2069879,73
1742950818.2069879,69
1742950818.2069879,66
1742950818.2069879,64
1742950818.2069879,62
1742950818.2069879,60
1742950818.2404208,58
1742950818.2404208,56
1742950818.2404208,53
1742950818.2404208,686
1742950818.2404208,796
1742950818.2414124,801
1742950818.2414124,767
1742950818.273311,713
1742950818.273311,652
1742950818.2744594,590
1742950818.2744594,534
1742950818.2744594,482
1742950818.274893,433
1742950818.3072808,389
1742950818.3072808,351
1742950818.3072808,317
1742950818.3072808,284
1742950818.3072808,258
1742950818.3072808,390
1742950818.3072808,405
1742950818.3405304,387
1742950818.3405304,362
1742950818.3405304,354
1742950818.3405304,330
1742950818.3405304,303
1742950818.3405304,276
