timestamp,value
1742947689.80096,21
1742947689.80096,22
1742947689.80096,21
1742947689.80096,21
1742947689.8018594,22
1742947689.8018594,22
1742947689.8018594,21
1742947689.8345182,21
1742947689.8345182,22
1742947689.8345182,21
1742947689.8345182,21
1742947689.8345182,21
1742947689.8345182,22
1742947689.8345182,22
1742947689.8345182,21
1742947689.867838,21
1742947689.867838,22
1742947689.867838,21
1742947689.867838,22
1742947689.867838,21
1742947689.867838,21
1742947689.867838,22
1742947689.867838,21
1742947689.9011183,21
1742947689.9011183,21
1742947689.9011183,21
1742947689.9011183,21
1742947689.9011183,22
1742947689.9011183,21
1742947689.9011183,21
1742947689.9011183,22
1742947689.9343016,22
1742947689.9343016,22
1742947689.9343016,21
1742947689.9343016,22
1742947689.9343016,22
1742947689.9343016,21
1742947689.9343016,21
1742947689.9343016,21
1742947689.967707,21
1742947689.967707,21
1742947689.967707,22
1742947689.967707,21
1742947689.967707,22
1742947689.967707,22
1742947689.967707,21
1742947689.967707,21
1742947690.0009167,21
1742947690.0009167,22
1742947690.0009167,21
1742947690.0009167,21
1742947690.0009167,21
1742947690.0009167,22
1742947690.0009167,21
1742947690.0009167,22
1742947690.033997,22
1742947690.033997,22
1742947690.033997,22
1742947690.033997,22
1742947690.033997,22
1742947690.033997,23
1742947690.033997,24
1742947690.033997,25
1742947690.0679476,25
1742947690.0679476,26
1742947690.0679476,24
1742947690.0679476,25
1742947690.0679476,26
1742947690.0679476,26
1742947690.0679476,25
1742947690.068946,27
1742947690.1008048,27
1742947690.1008048,27
1742947690.1008048,29
1742947690.1008048,31
1742947690.1008048,32
1742947690.1008048,38
1742947690.1008048,38
1742947690.1008048,45
1742947690.1338315,45
1742947690.1338315,47
1742947690.1338315,57
1742947690.1338315,58
1742947690.1338315,56
1742947690.1338315,61
1742947690.1338315,62
1742947690.1348321,65
1742947690.1668966,66
1742947690.1668966,69
1742947690.1668966,76
1742947690.1668966,78
1742947690.1678393,82
1742947690.1678393,79
1742947690.1678393,76
1742947690.1678393,72
1742947690.2002323,71
1742947690.2002323,75
1742947690.2002323,92
1742947690.2012262,101
1742947690.2012262,105
1742947690.2012262,99
1742947690.2012262,98
1742947690.2338688,105
1742947690.2338688,103
1742947690.2338688,96
1742947690.2338688,94
1742947690.2338688,98
1742947690.2338688,99
1742947690.2338688,95
1742947690.2338688,89
1742947690.2669559,84
1742947690.2669559,83
1742947690.2669559,81
1742947690.2669559,76
1742947690.2669559,76
1742947690.2669559,75
1742947690.2680185,75
1742947690.2680185,71
1742947690.300712,86
1742947690.300712,89
1742947690.300712,109
1742947690.300712,108
1742947690.300712,101
1742947690.300712,94
1742947690.300712,91
1742947690.333956,85
1742947690.333956,79
1742947690.333956,78
1742947690.333956,74
1742947690.333956,72
1742947690.333956,76
1742947690.335076,74
1742947690.335076,69
1742947690.366883,69
1742947690.366883,76
1742947690.366883,82
1742947690.366883,83
1742947690.366883,80
1742947690.366883,82
1742947690.366883,81
1742947690.366883,86
1742947690.3997905,85
1742947690.3997905,82
1742947690.3997905,76
1742947690.3997905,82
1742947690.3997905,98
1742947690.3997905,98
1742947690.3997905,116
1742947690.4335244,117
1742947690.4335244,113
1742947690.4335244,140
1742947690.4335244,162
1742947690.43452,163
1742947690.43452,148
1742947690.43452,142
1742947690.4669716,138
1742947690.4669716,126
1742947690.4669716,122
1742947690.4669716,111
1742947690.4678462,103
1742947690.4678462,110
1742947690.4997509,108
1742947690.500749,102
1742947690.500749,108
1742947690.500749,133
1742947690.500749,168
1742947690.500749,166
1742947690.500749,152
1742947690.5335348,145
1742947690.5335348,147
1742947690.5335348,149
1742947690.5335348,136
1742947690.5335348,127
1742947690.5345316,125
1742947690.566775,118
1742947690.566775,122
1742947690.566775,120
1742947690.566775,118
1742947690.566775,113
1742947690.566775,106
1742947690.5994527,100
1742947690.600448,108
1742947690.600448,109
1742947690.600448,105
1742947690.600448,108
1742947690.600448,111
1742947690.600448,104
1742947690.6339443,107
1742947690.6339443,132
1742947690.6339443,157
1742947690.6339443,157
1742947690.6339443,149
1742947690.6339443,144
1742947690.6670074,138
1742947690.6670074,127
1742947690.6670074,116
1742947690.6670074,106
1742947690.6670074,110
1742947690.6670074,141
1742947690.6679647,178
1742947690.7003987,165
1742947690.7003987,150
1742947690.7003987,141
1742947690.7003987,128
1742947690.7003987,117
1742947690.7003987,110
1742947690.7335334,111
1742947690.7335334,131
1742947690.7342696,156
1742947690.7342696,165
1742947690.7342696,150
1742947690.7342696,138
1742947690.7654223,128
1742947690.7669334,120
1742947690.7669334,109
1742947690.7669334,100
1742947690.7669334,128
1742947690.7669334,143
1742947690.7669334,148
1742947690.7996452,138
1742947690.7996452,125
1742947690.7996452,114
1742947690.8006442,104
1742947690.8006442,96
1742947690.8006442,89
1742947690.8006442,86
1742947690.832494,95
1742947690.832494,100
1742947690.8339438,101
1742947690.8339438,94
1742947690.8339438,90
1742947690.8339438,105
1742947690.8339438,128
1742947690.8668299,161
1742947690.8668299,158
1742947690.8668299,149
1742947690.8668299,137
1742947690.8668299,125
1742947690.8668299,117
1742947690.899286,114
1742947690.9002821,108
1742947690.9002821,100
1742947690.9002821,92
1742947690.9002821,86
1742947690.9002821,82
1742947690.9002821,79
1742947690.9002821,76
1742947690.9333506,77
1742947690.9333506,74
1742947690.9333506,69
1742947690.9333506,67
1742947690.9343636,65
1742947690.9343636,65
1742947690.9343636,62
1742947690.9343636,59
1742947690.9658718,56
1742947690.9668732,53
1742947690.9668732,51
1742947690.9668732,48
1742947690.9668732,46
1742947690.9668732,44
1742947690.9668732,42
1742947690.9668732,40
1742947690.999714,38
1742947690.999714,37
1742947690.999714,36
1742947690.999714,36
1742947690.999714,451
1742947690.999714,536
1742947691.0007086,547
1742947691.0326,525
1742947691.0326,490
1742947691.0326,448
1742947691.0326,407
1742947691.0336,368
1742947691.0336,333
1742947691.0660841,300
1742947691.0660841,270
1742947691.0660841,243
1742947691.0670846,219
1742947691.0670846,197
1742947691.0670846,178
1742947691.067603,160
1742947691.0996172,145
1742947691.0996172,132
1742947691.0996172,119
1742947691.0996172,108
1742947691.0996172,98
1742947691.0996172,91
1742947691.0996172,85
1742947691.132997,79
1742947691.132997,74
1742947691.132997,70
1742947691.132997,65
1742947691.132997,61
1742947691.132997,58
1742947691.132997,54
1742947691.132997,51
1742947691.166016,48
1742947691.166016,46
1742947691.166016,44
1742947691.166016,41
1742947691.166016,39
1742947691.166016,37
1742947691.1670115,36
1742947691.1670115,35
1742947691.19919,34
1742947691.19919,33
1742947691.19919,31
1742947691.2001867,30
1742947691.2001867,30
1742947691.2001867,29
1742947691.2001867,29
1742947691.2001867,27
1742947691.232011,27
1742947691.232011,27
1742947691.232011,26
1742947691.2334552,25
1742947691.2334552,25
1742947691.2334552,25
1742947691.2334552,25
1742947691.2334552,24
1742947691.265256,24
1742947691.265256,25
1742947691.265256,25
1742947691.265256,24
1742947691.2667682,23
1742947691.2667682,24
1742947691.2667682,23
1742947691.2667682,23
1742947691.2998724,24
1742947691.2998724,23
1742947691.2998724,24
1742947691.2998724,23
1742947691.2998724,23
1742947691.2998724,23
1742947691.3008673,22
1742947691.3008673,22
1742947691.3324609,22
1742947691.3324609,22
1742947691.3324609,22
1742947691.3324609,22
1742947691.3324609,22
1742947691.3324609,22
1742947691.3324609,21
1742947691.3324609,22
1742947691.3654077,23
1742947691.3654077,22
1742947691.3654077,21
1742947691.3654077,21
1742947691.3654077,21
