timestamp,value
1742865541.3831947,367
1742865541.3833318,367
1742865541.3834243,368
1742865541.3835156,367
1742865541.3836038,368
1742865541.4162045,369
1742865541.416297,369
1742865541.4163725,370
1742865541.4164484,369
1742865541.4165225,368
1742865541.4166045,367
1742865541.449332,366
1742865541.4494116,365
1742865541.449443,369
1742865541.4494731,371
1742865541.4495034,373
1742865541.4495337,375
1742865541.449563,379
1742865541.482672,379
1742865541.4827156,399
1742865541.4827473,387
1742865541.482778,396
1742865541.4828115,412
1742865541.4828415,413
1742865541.5159948,408
1742865541.5160928,426
1742865541.5161722,423
1742865541.516251,418
1742865541.5163295,415
1742865541.516377,404
1742865541.5164073,415
1742865541.5494244,424
1742865541.549509,437
1742865541.5495872,433
1742865541.5496585,414
1742865541.5497282,405
1742865541.5497985,412
1742865541.5828373,412
1742865541.5829506,407
1742865541.5830457,390
1742865541.5831518,379
1742865541.5832415,373
1742865541.583331,366
1742865541.6159167,365
1742865541.6161842,371
1742865541.616346,355
1742865541.6164942,340
1742865541.616641,330
1742865541.6168253,318
1742865541.6169775,308
1742865541.6495836,310
1742865541.6497724,306
1742865541.6499228,299
1742865541.6500962,304
1742865541.6502423,306
1742865541.6503904,300
1742865541.682684,301
1742865541.6828961,303
1742865541.6830714,309
1742865541.683223,309
1742865541.6833718,298
1742865541.6835186,295
1742865541.6836667,294
1742865541.7161365,289
1742865541.7163174,290
1742865541.7164965,286
1742865541.7166524,281
1742865541.716816,301
1742865541.7171805,301
1742865541.7494504,300
1742865541.7496386,306
1742865541.749838,306
1742865541.7499886,306
1742865541.7501366,293
1742865541.750284,292
1742865541.7824543,282
1742865541.7826524,286
1742865541.782758,274
1742865541.7828596,276
1742865541.7829607,275
1742865541.7830608,287
1742865541.7831554,289
1742865541.8159933,284
1742865541.8161685,312
1742865541.8163238,313
1742865541.8164723,307
1742865541.8166208,302
1742865541.8167682,293
1742865541.8493352,285
1742865541.8494925,275
1742865541.8498774,270
1742865541.850018,261
1742865541.8501542,255
1742865541.8502843,247
1742865541.8504038,255
1742865541.8827758,260
1742865541.8828876,261
1742865541.8829818,261
1742865541.8830707,267
1742865541.8831651,264
1742865541.8832536,260
1742865541.9159284,264
1742865541.9161434,260
1742865541.9163263,263
1742865541.9164937,259
1742865541.9166582,258
1742865541.9168189,251
1742865541.9496677,267
1742865541.9499428,276
1742865541.950081,284
1742865541.9502132,298
1742865541.9503455,316
1742865541.950477,348
1742865541.9506075,358
1742865541.9825585,353
1742865541.9827197,371
1742865541.9828646,385
1742865541.9830236,399
1742865541.9831736,440
1742865541.9833205,479
1742865542.0156767,499
1742865542.0157342,500
1742865542.0157778,499
1742865542.0158212,505
1742865542.0158641,521
1742865542.015907,555
1742865542.0159497,600
1742865542.04937,593
1742865542.0494862,636
1742865542.049582,655
1742865542.0496755,660
1742865542.0497696,676
1742865542.0498633,717
1742865542.0824404,756
1742865542.0825858,789
1742865542.082708,830
1742865542.0828314,872
1742865542.082952,859
1742865542.0830731,925
1742865542.1155245,932
1742865542.1157155,932
1742865542.1158402,932
1742865542.1159685,933
1742865542.1160898,932
1742865542.1162112,933
1742865542.1163316,933
1742865542.1499164,933
1742865542.1500978,933
1742865542.1502578,932
1742865542.1504066,932
1742865542.150555,933
1742865542.1507037,932
1742865542.182069,933
1742865542.1822226,933
1742865542.1823454,933
1742865542.182491,932
1742865542.182612,932
1742865542.182731,932
1742865542.1828525,933
1742865542.215343,933
1742865542.215415,932
1742865542.2154727,933
1742865542.2155302,933
1742865542.2155879,933
1742865542.2157736,932
1742865542.2486906,933
1742865542.2487648,932
1742865542.2488258,932
1742865542.248939,932
1742865542.2490034,933
1742865542.2490654,933
1742865542.2820966,933
1742865542.282371,932
1742865542.2825243,932
1742865542.2826803,932
1742865542.2828264,932
1742865542.282972,932
1742865542.283119,932
1742865542.315569,932
1742865542.3157277,932
1742865542.3158846,914
1742865542.3160324,898
1742865542.3161669,909
1742865542.316301,885
1742865542.3485792,905
1742865542.3494809,911
1742865542.349639,910
1742865542.3497715,887
1742865542.3499026,846
1742865542.350035,821
1742865542.350153,810
1742865542.3820026,800
1742865542.3820903,786
1742865542.3821657,783
1742865542.38224,774
1742865542.3823133,758
1742865542.3823874,728
1742865542.415349,708
1742865542.41545,677
1742865542.4155378,668
1742865542.4156368,644
1742865542.4157298,622
1742865542.4158177,583
1742865542.4486623,559
1742865542.4489636,542
1742865542.449127,536
1742865542.4494033,560
1742865542.4495625,548
1742865542.4497101,540
1742865542.449856,516
1742865542.4819553,507
1742865542.4821274,500
1742865542.4823065,470
1742865542.4824557,454
1742865542.4826062,431
1742865542.4827485,409
1742865542.5153418,392
1742865542.5155246,373
1742865542.515674,360
1742865542.5158272,347
1742865542.5159738,347
1742865542.5161211,340
1742865542.5167325,328
1742865542.5484726,324
1742865542.5485852,318
1742865542.548682,311
1742865542.5487828,303
1742865542.5488775,304
1742865542.548974,301
1742865542.58198,301
1742865542.5821538,317
1742865542.5823095,324
1742865542.5824628,320
1742865542.582609,306
1742865542.5827577,306
1742865542.6151464,300
1742865542.6154084,290
1742865542.6155643,280
1742865542.6157186,276
1742865542.6159134,290
1742865542.616063,286
1742865542.616211,272
1742865542.6484768,274
1742865542.648639,271
1742865542.6487873,274
1742865542.6489367,266
1742865542.6490836,259
1742865542.6495268,251
1742865542.681731,244
1742865542.6818628,233
1742865542.6819701,222
1742865542.6820722,212
1742865542.6821785,200
1742865542.6822789,189
1742865542.6823797,177
1742865542.715226,173
1742865542.7154143,167
1742865542.7155674,159
1742865542.7157161,149
1742865542.715866,149
1742865542.7160149,142
1742865542.7483277,137
1742865542.7484732,138
1742865542.7486103,133
1742865542.7487335,141
1742865542.749676,139
1742865542.7498212,135
1742865542.7816958,136
1742865542.7818623,135
1742865542.7819526,142
1742865542.7820408,147
1742865542.782129,147
1742865542.7822344,147
1742865542.7823215,143
1742865542.815572,139
1742865542.8157392,140
1742865542.8158708,137
1742865542.8160384,145
1742865542.816172,164
1742865542.8163457,168
1742865542.8484812,179
1742865542.848671,179
1742865542.849568,183
1742865542.8497958,179
1742865542.8499198,175
1742865542.850044,187
1742865542.8501635,194
1742865542.8814752,204
1742865542.8816547,223
1742865542.8818026,232
1742865542.8819396,250
1742865542.882097,263
1742865542.8822317,269
1742865542.914929,276
1742865542.9150903,273
1742865542.9152243,270
1742865542.915356,275
1742865542.915487,280
1742865542.9156187,281
1742865542.9480367,276
1742865542.9482229,286
1742865542.9483206,286
1742865542.9484148,273
1742865542.9485314,260
1742865542.9486272,262
1742865542.9487238,256
1742865542.981878,255
1742865542.9820788,246
1742865542.9822767,241
