timestamp,value
1742865588.4376068,366
1742865588.437717,365
1742865588.4377952,364
1742865588.4378893,364
1742865588.437965,364
1742865588.4707065,363
1742865588.4708004,362
1742865588.4708765,362
1742865588.4709518,361
1742865588.471026,364
1742865588.471106,363
1742865588.5038412,362
1742865588.5039084,361
1742865588.50394,359
1742865588.5039706,377
1742865588.504,375
1742865588.5040305,367
1742865588.5040603,364
1742865588.5371583,364
1742865588.5371966,353
1742865588.5372267,353
1742865588.537257,352
1742865588.5372894,380
1742865588.537319,400
1742865588.5704033,399
1742865588.5705028,403
1742865588.5705845,411
1742865588.5706637,419
1742865588.5707412,411
1742865588.5708196,417
1742865588.570891,423
1742865588.6037576,409
1742865588.6038198,395
1742865588.6038733,409
1742865588.603925,414
1742865588.6039784,441
1742865588.6040294,460
1742865588.6372182,461
1742865588.6374578,466
1742865588.6376173,478
1742865588.6377833,470
1742865588.6379297,470
1742865588.6380758,491
1742865588.6704357,495
1742865588.6705306,491
1742865588.6705887,472
1742865588.6706383,458
1742865588.6706858,440
1742865588.6707404,450
1742865588.6707978,445
1742865588.7035463,436
1742865588.703581,426
1742865588.7036207,422
1742865588.7036507,405
1742865588.7036803,392
1742865588.7037096,382
1742865588.7372055,383
1742865588.7372754,394
1742865588.7373366,399
1742865588.737395,400
1742865588.7374651,385
1742865588.7375243,369
1742865588.7375965,377
1742865588.7703502,369
1742865588.7704859,366
1742865588.7705908,375
1742865588.7706933,368
1742865588.770794,354
1742865588.7708943,367
1742865588.804,371
1742865588.8041608,387
1742865588.8043292,400
1742865588.804464,403
1742865588.8045988,398
1742865588.8047092,393
1742865588.837069,398
1742865588.8374016,387
1742865588.837558,387
1742865588.8377237,391
1742865588.8378706,379
1742865588.8380184,367
1742865588.8381662,384
1742865588.8704894,385
1742865588.870667,379
1742865588.870837,378
1742865588.870987,381
1742865588.871136,392
1742865588.8712838,402
1742865588.9036965,393
1742865588.9039183,396
1742865588.904093,392
1742865588.9042413,380
1742865588.9044037,380
1742865588.9045517,382
1742865588.9046996,377
1742865588.9373314,384
1742865588.9374661,387
1742865588.9375834,396
1742865588.937685,383
1742865588.9377925,384
1742865588.9378939,424
1742865588.9702952,426
1742865588.970463,429
1742865588.970595,423
1742865588.9707334,434
1742865588.9708548,442
1742865588.971003,438
1742865589.0034792,437
1742865589.0036628,431
1742865589.003767,421
1742865589.0038702,410
1742865589.0039654,416
1742865589.00407,401
1742865589.004166,390
1742865589.037032,372
1742865589.037267,365
1742865589.0374222,393
1742865589.0375717,418
1742865589.0377188,449
1742865589.0378673,451
1742865589.069972,450
1742865589.0700645,442
1742865589.0701406,439
1742865589.0703528,473
1742865589.070429,472
1742865589.0706842,469
1742865589.070768,488
1742865589.1036677,479
1742865589.1038132,462
1742865589.1039264,451
1742865589.1040456,447
1742865589.1041827,464
1742865589.1043046,464
1742865589.1367145,444
1742865589.136892,456
1742865589.1370635,440
1742865589.1372144,431
1742865589.1373632,417
1742865589.137512,402
1742865589.1699042,396
1742865589.1700735,382
1742865589.1701784,374
1742865589.1702955,364
1742865589.1703987,349
1742865589.1705012,338
1742865589.170607,328
1742865589.2034025,327
1742865589.203584,318
1742865589.203772,306
1742865589.2039232,298
1742865589.2040715,298
1742865589.20422,293
1742865589.236769,290
1742865589.2369566,287
1742865589.2371051,285
1742865589.2373009,284
1742865589.2374659,311
1742865589.2376165,311
1742865589.2377641,341
1742865589.2702188,347
1742865589.27039,355
1742865589.270533,365
1742865589.2706869,361
1742865589.2708251,362
1742865589.2709582,355
1742865589.3032901,347
1742865589.3035216,340
1742865589.3037148,332
1742865589.303883,321
1742865589.3040502,320
1742865589.3042173,320
1742865589.3364918,336
1742865589.3366692,329
1742865589.3367667,325
1742865589.3368716,326
1742865589.3369803,321
1742865589.3370855,313
1742865589.3371813,300
1742865589.3702073,294
1742865589.3703852,308
1742865589.3705409,313
1742865589.3706896,318
1742865589.370822,322
1742865589.3709543,326
1742865589.403213,321
1742865589.4033937,337
1742865589.4035635,336
1742865589.4037125,336
1742865589.4038596,326
1742865589.4040065,325
1742865589.4041562,345
1742865589.4363737,338
1742865589.4364986,341
1742865589.4366043,340
1742865589.4367213,336
1742865589.4368334,343
1742865589.436936,341
1742865589.469767,355
1742865589.4698787,361
1742865589.4699748,371
1742865589.470097,419
1742865589.4701989,429
1742865589.470297,422
1742865589.5031636,480
1742865589.5034308,496
1742865589.5036004,510
1742865589.5037706,526
1742865589.503918,519
1742865589.5040696,514
1742865589.504218,520
1742865589.5366254,508
1742865589.5367997,487
1742865589.5369697,462
1742865589.5371208,443
1742865589.5372713,423
1742865589.5374763,399
1742865589.5695496,385
1742865589.5697298,422
1742865589.569901,423
1742865589.5700538,418
1742865589.5702012,417
1742865589.5704353,405
1742865589.5705848,410
1742865589.6029263,399
1742865589.6031103,409
1742865589.6032588,436
1742865589.6034057,442
1742865589.603567,494
1742865589.6037145,501
1742865589.6361969,554
1742865589.6363924,587
1742865589.636541,591
1742865589.636715,620
