timestamp,value
1742947730.286111,21
1742947730.286111,21
1742947730.286111,22
1742947730.286111,21
1742947730.286111,22
1742947730.286111,22
1742947730.286111,21
1742947730.3188612,22
1742947730.319872,22
1742947730.319872,22
1742947730.319872,21
1742947730.319872,21
1742947730.319872,22
1742947730.319872,21
1742947730.319872,22
1742947730.3514726,22
1742947730.352981,21
1742947730.352981,21
1742947730.352981,22
1742947730.352981,22
1742947730.352981,21
1742947730.352981,22
1742947730.352981,21
1742947730.3860254,21
1742947730.3860254,21
1742947730.3860254,21
1742947730.3860254,21
1742947730.3860254,21
1742947730.3860254,21
1742947730.3860254,21
1742947730.3860254,22
1742947730.4189293,21
1742947730.4189293,21
1742947730.4197636,21
1742947730.4197636,22
1742947730.4197636,22
1742947730.4197636,21
1742947730.4197636,21
1742947730.4197636,22
1742947730.451382,21
1742947730.45289,21
1742947730.45289,21
1742947730.45289,21
1742947730.45289,22
1742947730.45289,21
1742947730.45289,21
1742947730.45289,21
1742947730.485871,22
1742947730.485871,21
1742947730.485871,21
1742947730.485871,21
1742947730.485871,21
1742947730.485871,21
1742947730.485871,21
1742947730.485871,21
1742947730.5194783,22
1742947730.5194783,22
1742947730.5194783,21
1742947730.5194783,22
1742947730.5194783,22
1742947730.5194783,21
1742947730.5194783,22
1742947730.5194783,21
1742947730.5526814,21
1742947730.5526814,21
1742947730.5526814,22
1742947730.5526814,21
1742947730.5531886,22
1742947730.5531886,22
1742947730.5531886,21
1742947730.5531886,21
1742947730.5858624,21
1742947730.5858624,21
1742947730.5858624,21
1742947730.5858624,22
1742947730.5858624,21
1742947730.5858624,21
1742947730.5858624,21
1742947730.5858624,21
1742947730.6192021,22
1742947730.6192021,21
1742947730.6192021,21
1742947730.6192021,21
1742947730.6192021,21
1742947730.6192021,22
1742947730.6192021,22
1742947730.6192021,22
1742947730.651385,21
1742947730.651385,21
1742947730.651385,21
1742947730.651385,21
1742947730.6529012,22
1742947730.6529012,21
1742947730.6529012,21
1742947730.6529012,21
1742947730.6856518,22
1742947730.6856518,23
1742947730.6856518,23
1742947730.6856518,22
1742947730.6856518,23
1742947730.6856518,22
1742947730.6856518,23
1742947730.6856518,23
1742947730.7184834,22
1742947730.719498,23
1742947730.719498,22
1742947730.719498,22
1742947730.719498,22
1742947730.719498,22
1742947730.719498,22
1742947730.719498,23
1742947730.752387,23
1742947730.752387,25
1742947730.752387,25
1742947730.752387,28
1742947730.752387,29
1742947730.752387,29
1742947730.752387,31
1742947730.752387,32
1742947730.7855654,36
1742947730.7855654,42
1742947730.7855654,44
1742947730.7855654,43
1742947730.7855654,53
1742947730.7865677,71
1742947730.7865677,81
1742947730.7865677,92
1742947730.818515,93
1742947730.818515,90
1742947730.818515,86
1742947730.818515,89
1742947730.818515,85
1742947730.8194768,80
1742947730.8194768,87
1742947730.8194768,85
1742947730.8515878,83
1742947730.8525724,81
1742947730.8525724,86
1742947730.8525724,99
1742947730.8525724,100
1742947730.853089,126
1742947730.853089,126
1742947730.8855143,126
1742947730.8855143,123
1742947730.8855143,137
1742947730.8855143,128
1742947730.8855143,118
1742947730.8855143,119
1742947730.9181077,117
1742947730.9181077,106
1742947730.9181077,96
1742947730.9181077,93
1742947730.9181077,90
1742947730.9181077,88
1742947730.9181077,84
1742947730.9181077,79
1742947730.9510167,73
1742947730.9510167,69
1742947730.9510167,64
1742947730.9525301,62
1742947730.9525301,61
1742947730.9525301,71
1742947730.9525301,103
1742947730.984731,109
1742947730.984731,113
1742947730.9857318,130
1742947730.9857318,128
1742947730.9857318,140
1742947730.9857318,161
1742947730.9857318,159
1742947731.019041,146
1742947731.019041,140
1742947731.019041,146
1742947731.019041,136
1742947731.019041,131
1742947731.019041,124
1742947731.0513768,117
1742947731.0513768,116
1742947731.0513768,108
1742947731.0523818,98
1742947731.0523818,94
1742947731.0523818,92
1742947731.0523818,86
1742947731.0523818,81
1742947731.0853963,75
1742947731.0853963,70
1742947731.0853963,68
1742947731.0853963,65
1742947731.0853963,61
1742947731.0853963,59
1742947731.0853963,56
1742947731.0853963,54
1742947731.118251,50
1742947731.118251,49
1742947731.118251,47
1742947731.1189573,45
1742947731.1189573,43
1742947731.1189573,41
1742947731.1189573,39
1742947731.1189573,38
1742947731.1517293,35
1742947731.1517293,34
1742947731.1517293,34
1742947731.1517293,32
1742947731.1517293,32
1742947731.1517293,30
1742947731.1517293,30
1742947731.1517293,30
1742947731.1865273,29
1742947731.1865273,32
1742947731.1865273,35
1742947731.1865273,35
1742947731.1865273,34
1742947731.1865273,33
1742947731.1875277,32
1742947731.1875277,31
1742947731.2173765,30
1742947731.218686,30
1742947731.218686,28
1742947731.218686,28
1742947731.218686,28
1742947731.218686,30
1742947731.218686,29
1742947731.218686,28
1742947731.2519238,27
1742947731.2519238,27
1742947731.2519238,27
1742947731.2519238,27
1742947731.2519238,27
1742947731.2524326,25
1742947731.2524326,26
1742947731.2524326,25
1742947731.2852092,25
1742947731.2852092,24
1742947731.2852092,25
1742947731.2852092,24
1742947731.2852092,24
1742947731.2852092,24
1742947731.2852092,24
1742947731.2852092,24
1742947731.318356,23
1742947731.318356,23
1742947731.318356,23
1742947731.318356,23
1742947731.318356,23
1742947731.318356,23
1742947731.318356,23
1742947731.318356,23
1742947731.3512025,22
1742947731.3512025,23
1742947731.3512025,23
1742947731.3512025,23
1742947731.3512025,23
1742947731.3512025,23
1742947731.3512025,22
1742947731.352715,22
1742947731.3844664,22
1742947731.3844664,22
1742947731.3844664,22
1742947731.3844664,23
1742947731.3844664,22
1742947731.3854656,22
1742947731.3854656,22
1742947731.3854656,22
1742947731.4179296,22
1742947731.4179296,22
1742947731.4179296,21
1742947731.4179296,21
1742947731.4189382,22
1742947731.4189382,22
1742947731.4189382,22
1742947731.4189382,22
1742947731.4513223,22
1742947731.4513223,22
1742947731.4513223,22
1742947731.4513223,22
1742947731.4513223,23
1742947731.4513223,22
1742947731.4513223,22
1742947731.4513223,22
1742947731.484416,22
1742947731.484416,22
1742947731.485422,22
1742947731.485422,22
1742947731.485422,22
1742947731.485422,21
1742947731.485422,21
1742947731.485422,21
1742947731.5185611,21
1742947731.5185611,22
1742947731.5185611,21
1742947731.5185611,22
1742947731.5185611,22
1742947731.5185611,22
1742947731.5185611,22
1742947731.5185611,22
1742947731.5514007,21
1742947731.5514007,21
1742947731.5514007,22
1742947731.5514007,22
1742947731.5514007,22
1742947731.5514007,21
1742947731.5514007,22
1742947731.5514007,22
1742947731.5846405,21
1742947731.5846405,22
1742947731.5846405,21
1742947731.5856414,21
1742947731.5856414,21
1742947731.5856414,22
1742947731.5856414,21
1742947731.5856414,21
1742947731.6173337,21
1742947731.6173337,21
1742947731.6173337,21
1742947731.6183665,22
1742947731.6183665,21
1742947731.6183665,21
1742947731.6183665,21
1742947731.6183665,22
1742947731.6513972,23
1742947731.6513972,22
1742947731.6513972,22
1742947731.6513972,21
1742947731.6513972,22
1742947731.6513972,21
1742947731.6513972,21
1742947731.6513972,21
