timestamp,value
1772871388.931278,0
1772871388.9415312,0
1772871388.951497,0
1772871388.964236,0
1772871388.9723623,0
1772871388.9817827,0
1772871388.9916062,0
1772871389.001419,0
1772871389.0113049,0
1772871389.0217426,0
1772871389.031452,0
1772871389.045054,0
1772871389.0512755,0
1772871389.061501,0
1772871389.0746245,0
1772871389.081501,0
1772871389.091642,0
1772871389.1038866,0
1772871389.1153717,0
1772871389.1214237,0
1772871389.1313202,0
1772871389.1415625,0
1772871389.1519465,0
1772871389.1617517,0
1772871389.1736314,0
1772871389.1814258,0
1772871389.1913908,0
1772871389.2015479,0
1772871389.2113106,0
1772871389.2221863,0
1772871389.23181,0
1772871389.2424593,0
1772871389.2515893,0
1772871389.26134,0
1772871389.2717242,0
1772871389.281575,0
1772871389.291183,0
1772871389.303424,0
1772871389.317463,0
1772871389.3218713,0
1772871389.3319538,0
1772871389.341409,0
1772871389.3532577,2
1772871389.3613412,7
1772871389.3732934,16
1772871389.3814054,26
1772871389.3916352,30
1772871389.401281,21
1772871389.4128995,19
1772871389.4214983,13
1772871389.4313934,12
1772871389.4427793,16
1772871389.4513805,15
1772871389.4615219,14
1772871389.4724383,13
1772871389.48239,57
1772871389.491416,78
1772871389.5025585,64
1772871389.5145884,113
1772871389.5225575,108
1772871389.5317063,97
1772871389.5416646,78
1772871389.551685,62
1772871389.561539,75
1772871389.5714753,75
1772871389.583845,92
1772871389.5917375,106
1772871389.603041,95
1772871389.6141276,95
1772871389.6212757,86
1772871389.6313741,80
1772871389.6414692,80
1772871389.6517658,64
1772871389.661405,55
1772871389.6714792,57
1772871389.6814072,67
1772871389.696052,65
1772871389.7015295,59
1772871389.7114305,65
1772871389.7232943,61
1772871389.7338967,65
1772871389.7421138,77
1772871389.755241,100
1772871389.7618668,102
1772871389.7717128,96
1772871389.783383,111
1772871389.7920704,91
1772871389.8015509,81
1772871389.8163674,78
1772871389.8226779,94
1772871389.8315685,124
1772871389.8416665,137
1772871389.8521652,117
1772871389.861751,118
1772871389.8717687,105
1772871389.882069,121
1772871389.8943949,105
1772871389.90154,117
1772871389.912109,136
1772871389.9218853,144
1772871389.9323747,144
1772871389.945427,146
1772871389.951521,125
1772871389.961449,103
1772871389.9715168,106
1772871389.986513,147
1772871389.9940317,163
1772871390.0020921,145
1772871390.0131328,144
1772871390.0218387,135
1772871390.034745,167
1772871390.0416226,146
1772871390.051617,126
1772871390.0616062,114
1772871390.0718732,111
1772871390.0815742,112
1772871390.0945125,144
1772871390.1038551,176
1772871390.1134975,144
1772871390.123605,135
1772871390.1314943,160
1772871390.1416237,129
1772871390.1518946,171
1772871390.1618629,172
1772871390.1719837,172
1772871390.181369,142
1772871390.192661,147
1772871390.202913,158
1772871390.2117014,166
1772871390.2294965,144
1772871390.2321858,128
1772871390.2415972,144
1772871390.2538712,148
1772871390.2653842,158
1772871390.2733335,157
1772871390.281701,219
1772871390.2915742,204
1772871390.3017743,192
1772871390.3145502,260
1772871390.329372,289
1772871390.3352036,273
1772871390.3415487,256
1772871390.355187,243
1772871390.364448,222
1772871390.3730543,178
1772871390.38211,165
1772871390.391495,185
1772871390.4020784,183
1772871390.4115992,237
1772871390.4224498,210
1772871390.4325514,206
1772871390.4415562,207
1772871390.453505,241
1772871390.4614618,208
1772871390.4721224,224
1772871390.4840622,192
1772871390.4950082,176
1772871390.5026102,177
1772871390.51173,192
1772871390.5219414,182
1772871390.531766,202
1772871390.544334,185
1772871390.5570996,162
1772871390.5616798,155
1772871390.5736125,124
1772871390.5816777,165
1772871390.5917027,190
1772871390.6021178,198
1772871390.6121836,203
1772871390.6215749,210
1772871390.6315446,176
1772871390.6442869,173
1772871390.6518104,179
1772871390.6625147,160
1772871390.67195,156
1772871390.6817958,144
1772871390.6915264,148
1772871390.703348,138
1772871390.7116508,176
1772871390.7214406,153
1772871390.7315845,135
1772871390.7417388,147
1772871390.751612,158
1772871390.7616687,163
1772871390.7716491,235
1772871390.7816074,272
1772871390.7915137,270
1772871390.8018372,224
1772871390.8120942,201
1772871390.8227654,167
1772871390.8318057,207
1772871390.84153,225
1772871390.853606,219
1772871390.8650815,217
1772871390.8722372,192
1772871390.881632,209
1772871390.8918135,199
1772871390.901668,172
1772871390.9152408,199
1772871390.9215975,211
1772871390.932964,192
1772871390.942101,165
1772871390.9521897,240
1772871390.9616272,213
1772871390.9717748,193
1772871390.9830437,180
1772871390.9914236,176
1772871391.0014777,165
1772871391.012723,176
1772871391.021389,164
1772871391.0458622,201
1772871391.0462656,165
1772871391.0517244,175
1772871391.0627282,148
1772871391.071514,148
1772871391.0841892,158
1772871391.0938272,176
1772871391.1015475,161
1772871391.1121943,146
1772871391.1224246,132
1772871391.1316938,150
1772871391.1416469,129
1772871391.151954,125
1772871391.1617415,155
1772871391.171489,173
1772871391.1815395,171
1772871391.1916387,153
1772871391.2015238,143
1772871391.211732,141
1772871391.2217944,176
1772871391.2330477,168
1772871391.2416472,144
1772871391.2517235,186
1772871391.2643328,214
1772871391.2724452,199
1772871391.2816236,189
1772871391.2916868,162
1772871391.301565,157
1772871391.3116918,181
1772871391.3227828,217
1772871391.3316743,187
1772871391.3423634,195
1772871391.3517342,179
1772871391.3617356,224
1772871391.3716576,229
1772871391.3819,203
1772871391.3928285,198
1772871391.4019363,208
1772871391.4116378,210
1772871391.4223132,240
1772871391.4326584,208
1772871391.4420946,215
1772871391.4545245,192
1772871391.4614112,162
1772871391.4715722,161
1772871391.4816725,219
1772871391.4915102,237
1772871391.5034103,213
1772871391.5114923,213
1772871391.5216627,188
1772871391.5320117,197
1772871391.542812,205
1772871391.5556085,202
1772871391.5620184,208
1772871391.57205,206
1772871391.5816278,233
1772871391.5916286,256
1772871391.601838,263
1772871391.61165,305
1772871391.6299744,271
1772871391.6363525,231
1772871391.6415322,245
1772871391.6515698,251
1772871391.6651347,287
1772871391.6733327,262
1772871391.6830468,225
1772871391.6937184,222
1772871391.7016509,225
1772871391.711577,267
1772871391.7219365,247
1772871391.7315316,256
1772871391.7419093,336
1772871391.751748,318
1772871391.762908,283
1772871391.7716463,300
1772871391.7824295,274
1772871391.7918224,256
1772871391.801884,218
1772871391.8115027,186
1772871391.821584,161
1772871391.831654,164
1772871391.8424284,205
1772871391.8515518,211
1772871391.862471,201
1772871391.8726244,202
1772871391.881553,186
1772871391.8916256,252
1772871391.9046006,299
1772871391.9126048,309
1772871391.9215446,318
1772871391.932764,327
1772871391.9417024,291
1772871391.9618106,262
1772871391.9621677,300
1772871391.9816012,272
1772871391.9818935,253
1772871391.9936647,256
1772871392.0015433,283
1772871392.0114071,301
1772871392.0258367,266
1772871392.0414221,278
1772871392.0416062,272
1772871392.066506,263
1772871392.069131,266
1772871392.0732148,260
1772871392.0824215,256
1772871392.0923774,263
1772871392.1016545,261
