timestamp,value
1772879630.3349652,186
1772879630.343962,176
1772879630.3539999,169
1772879630.3641615,163
1772879630.3741064,151
1772879630.3838212,117
1772879630.3939583,102
1772879630.404003,123
1772879630.4143195,112
1772879630.4239328,120
1772879630.4359868,115
1772879630.4445288,112
1772879630.4543455,123
1772879630.4640439,112
1772879630.4743342,146
1772879630.4842806,132
1772879630.4938455,128
1772879630.5041199,138
1772879630.5139024,183
1772879630.5241573,178
1772879630.5348437,190
1772879630.544219,239
1772879630.5558672,213
1772879630.5640407,206
1772879630.5738652,245
1772879630.5842292,214
1772879630.5940201,226
1772879630.6044173,228
1772879630.6200092,235
1772879630.624251,261
1772879630.635485,253
1772879630.6442883,250
1772879630.6543262,226
1772879630.6645136,194
1772879630.6761081,197
1772879630.684146,191
1772879630.6956367,239
1772879630.7039423,208
1772879630.714058,189
1772879630.7240117,175
1772879630.7350574,152
1772879630.7480927,201
1772879630.7547479,208
1772879630.7638595,234
1772879630.7738929,197
1772879630.784022,223
1772879630.7941084,219
1772879630.8039849,206
1772879630.8144054,207
1772879630.8247352,176
1772879630.8356137,229
1772879630.8440259,242
1772879630.8553371,272
1772879630.8639913,256
1772879630.874477,219
1772879630.8843358,209
1772879630.8942523,176
1772879630.9042342,208
1772879630.914095,234
1772879630.924158,236
1772879630.9341757,221
1772879630.944132,193
1772879630.9563198,285
1772879630.965863,283
1772879630.9741645,283
1772879630.9859438,377
1772879630.9943833,329
1772879631.0037677,281
1772879631.014104,272
1772879631.0257907,238
1772879631.0381389,283
1772879631.0476482,255
1772879631.0610712,251
1772879631.0640924,240
1772879631.0741434,237
1772879631.085742,208
1772879631.0953233,182
1772879631.1038976,180
1772879631.115175,181
1772879631.1243143,176
1772879631.135034,141
1772879631.144776,151
1772879631.1554801,178
1772879631.1641018,188
1772879631.1742547,197
1772879631.1865,202
1772879631.1958733,180
1772879631.2042246,163
1772879631.2140074,141
1772879631.2246091,137
1772879631.2364888,167
1772879631.2439163,160
1772879631.2602062,161
1772879631.2650456,138
1772879631.2739952,136
1772879631.284414,170
1772879631.2995036,171
1772879631.3040645,214
1772879631.314144,226
1772879631.3249717,256
1772879631.3343196,244
1772879631.344321,286
1772879631.3559105,267
1772879631.3644545,249
1772879631.3740473,242
1772879631.3893576,237
1772879631.3938313,194
1772879631.4042275,224
